seed,sigma,topk,acc,n_wrong,full,nan,dup_conflict,rank,sec
0,2.5,120,0.012195121951219513,162,0,1,0,159,22.836565256118774
1,2.5,120,0.012195121951219513,162,0,1,0,164,28.816118240356445
2,2.5,120,0.012195121951219513,162,0,1,2,162,27.59871554374695
3,2.5,120,0.012195121951219513,162,0,1,0,164,27.290672540664673
4,2.5,120,0.012195121951219513,162,0,1,0,164,27.861137628555298
5,2.5,120,0.012195121951219513,162,0,1,0,164,22.51907777786255
6,2.5,120,0.012195121951219513,162,0,1,0,163,26.387269020080566
7,2.5,120,0.012195121951219513,162,0,1,0,164,28.720403909683228
8,2.5,120,0.012195121951219513,162,0,1,0,162,31.20812225341797
9,2.5,120,0.012195121951219513,162,0,1,0,164,25.096774578094482
10,2.5,120,0.012195121951219513,162,0,1,0,164,30.02865743637085
11,2.5,120,0.012195121951219513,162,0,1,0,164,26.60399842262268
12,2.5,120,0.012195121951219513,162,0,1,0,164,29.828473567962646
13,2.5,120,0.012195121951219513,162,0,1,0,164,27.770580530166626
14,2.5,120,0.012195121951219513,162,0,1,0,164,28.183705806732178
15,2.5,120,0.012195121951219513,162,0,1,0,164,27.363974809646606
16,2.5,120,0.012195121951219513,162,0,1,0,164,28.770267963409424
17,2.5,120,0.012195121951219513,162,0,1,0,153,27.295564889907837
18,2.5,120,0.012195121951219513,162,0,1,0,164,32.58620810508728
19,2.5,120,0.012195121951219513,162,0,1,0,162,24.842522382736206
20,2.5,120,0.012195121951219513,162,0,1,0,163,29.2078537940979
21,2.5,120,0.012195121951219513,162,0,1,0,159,29.15506100654602
22,2.5,120,0.012195121951219513,162,0,1,0,164,27.778059244155884
23,2.5,120,0.012195121951219513,162,0,1,0,164,28.955729961395264
24,2.5,120,0.012195121951219513,162,0,1,0,161,31.984517335891724
25,2.5,120,0.012195121951219513,162,0,1,0,164,25.94694948196411
26,2.5,120,0.012195121951219513,162,0,1,0,164,30.68264102935791
27,2.5,120,0.012195121951219513,162,0,1,0,163,28.507807970046997
28,2.5,120,0.012195121951219513,162,0,1,0,163,24.59152340888977
29,2.5,120,0.012195121951219513,162,0,1,0,164,19.659589529037476
