sigma,topk,n,full,frac,ci_lo,ci_hi,acc,dup_mean,dup_total,nan_total,rank_lt
2.0,80,30,28,0.9333333333333333,0.7867618227892791,0.9815233646723066,0.9995934959349594,0.13333333333333333,4,0,16
2.0,120,30,0,0.0,-1.2302421700937121e-17,0.11351709139047801,0.012195121951219504,0.3333333333333333,10,30,13
2.5,80,30,24,0.8,0.6269395261897257,0.9049502189759876,0.9983739837398373,0.26666666666666666,8,0,14
2.5,120,30,0,0.0,-1.2302421700937121e-17,0.11351709139047801,0.012195121951219504,0.06666666666666667,2,30,11
3.0,80,30,22,0.7333333333333333,0.5555169795568831,0.8581750444608938,0.9973577235772357,0.4666666666666667,14,0,18
3.0,120,30,0,0.0,-1.2302421700937121e-17,0.11351709139047801,0.012195121951219504,0.13333333333333333,4,30,11
4.0,80,30,25,0.8333333333333334,0.6643529481431982,0.9266356575964831,0.998780487804878,0.4,12,0,19
4.0,120,30,0,0.0,-1.2302421700937121e-17,0.11351709139047801,0.012195121951219504,0.2,6,30,15
