seed,sigma,topk,acc,n_wrong,full,nan,dup_conflict,rank,sec
7,2.5,120,0.0121951219512195,162,0,1,0,164,28.720403909683228
8,2.5,120,0.0121951219512195,162,0,1,0,162,31.20812225341797
9,2.5,120,0.0121951219512195,162,0,1,0,164,25.09677457809448
10,2.5,120,0.0121951219512195,162,0,1,0,164,30.02865743637085
11,2.5,120,0.0121951219512195,162,0,1,0,164,26.60399842262268
12,2.5,120,0.0121951219512195,162,0,1,0,164,29.828473567962646
13,2.5,120,0.0121951219512195,162,0,1,0,164,27.770580530166622
14,2.5,120,0.0121951219512195,162,0,1,0,164,28.183705806732178
15,2.5,120,0.0121951219512195,162,0,1,0,164,27.363974809646606
16,2.5,120,0.0121951219512195,162,0,1,0,164,28.770267963409424
17,2.5,120,0.0121951219512195,162,0,1,0,153,27.29556488990784
18,2.5,120,0.0121951219512195,162,0,1,0,164,32.58620810508728
19,2.5,120,0.0121951219512195,162,0,1,0,162,24.84252238273621
20,2.5,120,0.0121951219512195,162,0,1,0,163,29.2078537940979
21,2.5,120,0.0121951219512195,162,0,1,0,159,29.15506100654602
22,2.5,120,0.0121951219512195,162,0,1,0,164,27.778059244155884
23,2.5,120,0.0121951219512195,162,0,1,0,164,28.955729961395264
24,2.5,120,0.0121951219512195,162,0,1,0,161,31.984517335891724
25,2.5,120,0.0121951219512195,162,0,1,0,164,25.94694948196411
26,2.5,120,0.0121951219512195,162,0,1,0,164,30.68264102935791
27,2.5,120,0.0121951219512195,162,0,1,0,163,28.507807970047
28,2.5,120,0.0121951219512195,162,0,1,0,163,24.59152340888977
29,2.5,120,0.0121951219512195,162,0,1,0,164,19.65958952903748
0,3.0,80,0.9939024390243902,1,0,0,2,156,22.011327743530277
1,3.0,80,0.9878048780487804,2,0,0,4,162,25.2029869556427
2,3.0,80,0.9939024390243902,1,0,0,2,163,25.8465428352356
3,3.0,80,1.0,0,1,0,0,163,26.391051769256592
4,3.0,80,1.0,0,1,0,0,164,28.21932625770569
5,3.0,80,1.0,0,1,0,0,160,30.49399948120117
6,3.0,80,1.0,0,1,0,0,162,26.258009433746334
7,3.0,80,1.0,0,1,0,0,164,25.72063970565796
8,3.0,80,0.9939024390243902,1,0,0,2,163,30.94617009162903
9,3.0,80,1.0,0,1,0,0,163,26.659510135650635
10,3.0,80,1.0,0,1,0,0,164,27.67028403282165
11,3.0,80,1.0,0,1,0,0,164,26.68552327156067
12,3.0,80,1.0,0,1,0,0,160,26.80242371559143
13,3.0,80,1.0,0,1,0,0,164,28.218822717666622
14,3.0,80,1.0,0,1,0,0,164,30.72642970085144
15,3.0,80,1.0,0,1,0,0,164,29.45043992996216
16,3.0,80,1.0,0,1,0,0,159,28.12629771232605
17,3.0,80,0.9695121951219512,5,0,0,0,147,27.05841469764709
18,3.0,80,1.0,0,1,0,0,163,34.174317598342896
19,3.0,80,1.0,0,1,0,0,162,28.710824251174927
20,3.0,80,1.0,0,1,0,0,164,30.82743740081787
21,3.0,80,0.9939024390243902,1,0,0,0,155,27.1596200466156
22,3.0,80,1.0,0,1,0,0,164,30.28359341621399
23,3.0,80,1.0,0,1,0,0,164,27.075600624084476
24,3.0,80,1.0,0,1,0,0,158,25.997090339660645
25,3.0,80,1.0,0,1,0,0,164,30.71471762657165
26,3.0,80,0.9939024390243902,1,0,0,2,163,28.64383625984192
27,3.0,80,1.0,0,1,0,0,160,27.714669942855835
28,3.0,80,1.0,0,1,0,0,164,24.49078941345215
29,3.0,80,0.9939024390243902,1,0,0,2,162,18.9754421710968
0,3.0,120,0.0121951219512195,162,0,1,0,159,24.05612874031067
1,3.0,120,0.0121951219512195,162,0,1,2,163,26.79944610595703
2,3.0,120,0.0121951219512195,162,0,1,0,161,29.039013624191284
3,3.0,120,0.0121951219512195,162,0,1,0,164,23.984379529953003
4,3.0,120,0.0121951219512195,162,0,1,0,164,23.729485511779785
5,3.0,120,0.0121951219512195,162,0,1,0,163,29.16420674324036
6,3.0,120,0.0121951219512195,162,0,1,2,162,27.606098651885983
7,3.0,120,0.0121951219512195,162,0,1,0,164,29.258528232574463
8,3.0,120,0.0121951219512195,162,0,1,0,164,27.85929036140442
9,3.0,120,0.0121951219512195,162,0,1,0,164,26.08860421180725
10,3.0,120,0.0121951219512195,162,0,1,0,164,28.22461175918579
11,3.0,120,0.0121951219512195,162,0,1,0,164,27.993188619613647
12,3.0,120,0.0121951219512195,162,0,1,0,163,28.613747596740723
13,3.0,120,0.0121951219512195,162,0,1,0,164,25.552997827529907
14,3.0,120,0.0121951219512195,162,0,1,0,163,30.23946499824524
15,3.0,120,0.0121951219512195,162,0,1,0,164,26.6892991065979
16,3.0,120,0.0121951219512195,162,0,1,0,164,32.29898715019226
17,3.0,120,0.0121951219512195,162,0,1,0,140,28.95387291908264
18,3.0,120,0.0121951219512195,162,0,1,0,164,30.14756226539612
19,3.0,120,0.0121951219512195,162,0,1,0,163,33.215107679367065
20,3.0,120,0.0121951219512195,162,0,1,0,164,28.92705202102661
21,3.0,120,0.0121951219512195,162,0,1,0,154,30.62808060646057
22,3.0,120,0.0121951219512195,162,0,1,0,164,28.85276222229004
23,3.0,120,0.0121951219512195,162,0,1,0,164,30.638413667678837
24,3.0,120,0.0121951219512195,162,0,1,0,161,30.527924060821533
25,3.0,120,0.0121951219512195,162,0,1,0,164,26.79642653465271
26,3.0,120,0.0121951219512195,162,0,1,0,164,30.08626437187195
27,3.0,120,0.0121951219512195,162,0,1,0,164,29.948222875595093
28,3.0,120,0.0121951219512195,162,0,1,0,164,21.997036457061768
29,3.0,120,0.0121951219512195,162,0,1,0,164,15.566414833068848
0,4.0,80,0.9939024390243902,1,0,0,2,154,24.13935256004333
1,4.0,80,1.0,0,1,0,0,163,28.270304918289185
2,4.0,80,0.9939024390243902,1,0,0,2,163,25.951860666275024
3,4.0,80,1.0,0,1,0,0,164,28.708866834640503
4,4.0,80,1.0,0,1,0,0,162,26.914201021194454
5,4.0,80,1.0,0,1,0,0,156,25.641700744628903
6,4.0,80,0.9939024390243902,1,0,0,2,163,29.170908212661743
7,4.0,80,1.0,0,1,0,0,162,25.615150690078732
8,4.0,80,1.0,0,1,0,0,164,23.565978288650516
9,4.0,80,1.0,0,1,0,0,157,27.05369734764099
10,4.0,80,1.0,0,1,0,0,164,24.89606547355652
11,4.0,80,1.0,0,1,0,0,162,32.04927968978882
12,4.0,80,0.9939024390243902,1,0,0,2,163,24.576062202453613
13,4.0,80,1.0,0,1,0,0,164,26.54959845542908
14,4.0,80,1.0,0,1,0,0,164,26.08314180374145
15,4.0,80,1.0,0,1,0,0,164,26.75877404212952
16,4.0,80,1.0,0,1,0,0,158,29.68681287765503
17,4.0,80,1.0,0,1,0,0,162,27.96045923233032
18,4.0,80,1.0,0,1,0,0,162,27.77796959877014
19,4.0,80,1.0,0,1,0,0,159,26.435433626174927
20,4.0,80,1.0,0,1,0,0,164,26.72021794319153
