N,seed,g,alpn_active_kc,alpn_survival,code_cos
10,0,1,12.909090909090908,0.19930069930069927,0.9318181818181817
10,0,2,16.90909090909091,0.7317682317682319,0.8454545454545452
10,0,4,18.636363636363637,0.8611388611388612,0.7659090909090908
10,0,8,21.363636363636363,0.9545454545454546,0.7113636363636362
10,1,1,13.090909090909092,0.4811073699962588,0.9045454545454547
10,1,2,15.454545454545455,0.6745230078563411,0.7818181818181817
10,1,4,19.636363636363637,0.9016086793864573,0.7249999999999999
10,1,8,21.0,0.9476243920688364,0.5704545454545453
10,2,1,13.545454545454545,0.47000937207122767,0.8181818181818182
10,2,2,15.272727272727273,0.6223055295220242,0.6477272727272726
10,2,4,17.818181818181817,0.7933458294283036,0.575
10,2,8,20.09090909090909,0.8631677600749765,0.5454545454545453
10,3,1,12.272727272727273,0.10848819688598697,0.909090909090909
10,3,2,15.0,0.4158714213962833,0.7772727272727272
10,3,4,17.363636363636363,0.5705675539929684,0.7045454545454544
10,3,8,22.272727272727273,0.7061778001004521,0.6727272727272726
10,4,1,13.454545454545455,0.24745762711864405,0.8977272727272726
10,4,2,17.727272727272727,0.6070878274268106,0.8159090909090909
10,4,4,21.454545454545453,0.7617873651771956,0.7318181818181817
10,4,8,26.454545454545453,0.8767334360554699,0.6295454545454545
10,5,1,13.0,0.4472727272727273,0.9454545454545452
10,5,2,14.454545454545455,0.6987878787878787,0.8909090909090907
10,5,4,16.818181818181817,0.8593939393939394,0.834090909090909
10,5,8,18.545454545454547,0.9327272727272728,0.668181818181818
10,6,1,11.181818181818182,0.13463751438434984,0.8977272727272727
10,6,2,14.090909090909092,0.42174913693901034,0.818181818181818
10,6,4,17.272727272727273,0.7324510932105869,0.7363636363636362
10,6,8,21.454545454545453,0.8843498273878022,0.6613636363636363
10,7,1,12.181818181818182,0.09187109187109188,0.9181818181818181
10,7,2,14.727272727272727,0.4405964405964406,0.8636363636363634
10,7,4,17.636363636363637,0.6075036075036074,0.825
10,7,8,24.0,0.8287638287638288,0.6749999999999998
10,8,1,15.636363636363637,0.4658833230261802,0.8613636363636362
10,8,2,21.181818181818183,0.8140589569160998,0.6681818181818181
10,8,4,25.363636363636363,0.9492888064316637,0.5954545454545452
10,8,8,27.454545454545453,0.9863945578231292,0.5886363636363635
10,9,1,14.545454545454545,0.470846394984326,0.8977272727272726
10,9,2,17.363636363636363,0.7435736677115987,0.8590909090909089
10,9,4,20.0,0.8507836990595613,0.7795454545454544
10,9,8,23.454545454545453,0.9514106583072102,0.7045454545454545
10,10,1,12.909090909090908,0.305686345526983,0.9227272727272726
10,10,2,15.727272727272727,0.5570445490764215,0.8318181818181817
10,10,4,18.454545454545453,0.7073524085476277,0.734090909090909
10,10,8,24.545454545454547,0.8725099601593626,0.5749999999999998
10,11,1,13.0,0.3113391984359726,0.943181818181818
10,11,2,15.363636363636363,0.5933528836754642,0.8772727272727271
10,11,4,19.09090909090909,0.8191593352883676,0.7749999999999999
10,11,8,21.636363636363637,0.918377321603128,0.7136363636363636
10,12,1,12.727272727272727,0.3181818181818182,0.9204545454545454
10,12,2,15.636363636363637,0.6147396293027362,0.8545454545454544
10,12,4,19.272727272727273,0.8053839364518975,0.7454545454545454
10,12,8,21.818181818181817,0.8808473080317739,0.6568181818181817
10,13,1,13.636363636363637,0.6068665377176016,0.868181818181818
10,13,2,14.909090909090908,0.7867504835589941,0.7704545454545454
10,13,4,16.636363636363637,0.8413926499032882,0.684090909090909
10,13,8,18.818181818181817,0.8863636363636364,0.6340909090909089
10,14,1,13.181818181818182,0.48906789413118545,0.9295454545454543
10,14,2,15.727272727272727,0.7460682777138475,0.8454545454545452
10,14,4,17.90909090909091,0.8864595320291521,0.793181818181818
10,14,8,20.181818181818183,0.9474491752972765,0.7295454545454544
10,15,1,13.090909090909092,0.32073544433095,0.9499999999999997
10,15,2,15.636363636363637,0.6823289070480083,0.859090909090909
10,15,4,17.818181818181817,0.8421859039836569,0.7863636363636363
10,15,8,20.545454545454547,0.9683350357507661,0.7227272727272726
10,16,1,11.818181818181818,0.23953823953823958,0.95
10,16,2,13.545454545454545,0.4367484367484368,0.8977272727272726
10,16,4,16.363636363636363,0.5815295815295816,0.8227272727272726
10,16,8,20.818181818181817,0.7258297258297258,0.6999999999999998
10,17,1,12.363636363636363,0.47803881511746676,0.9431818181818182
10,17,2,14.727272727272727,0.8217568947906027,0.8795454545454543
10,17,4,16.0,0.9096016343207353,0.8613636363636363
10,17,8,17.181818181818183,0.9555669050051073,0.8568181818181816
10,18,1,12.090909090909092,0.48325358851674644,0.9204545454545451
10,18,2,15.272727272727273,0.7259056732740944,0.8204545454545453
10,18,4,18.272727272727273,0.8376623376623378,0.7386363636363634
10,18,8,21.454545454545453,0.9039644565960355,0.6295454545454545
10,19,1,13.363636363636363,0.5148936170212767,0.902272727272727
10,19,2,15.909090909090908,0.7783365570599614,0.8363636363636361
10,19,4,18.818181818181817,0.9458413926499033,0.7727272727272726
10,19,8,19.90909090909091,0.9733075435203093,0.7386363636363636
