sample,M2h,sec
1,1.1069356203079224,0.2829899787902832
4,1.1363887786865234,0.5186278820037842
7,1.1336655616760254,0.778702974319458
10,1.132344365119934,1.0090868473052979
13,1.1098381280899048,1.2437140941619873
16,1.0858008861541748,1.5174334049224854
19,1.1432594060897827,1.767777442932129
22,1.1318684816360474,2.012270450592041
25,1.1010785102844238,2.284299850463867
28,1.1098604202270508,2.547581195831299
31,1.1243566274642944,2.7622487545013428
34,1.1241400241851807,3.0095553398132324
37,1.0846383571624756,3.263678789138794
40,1.090311884880066,3.527594804763794
43,1.0890649557113647,3.762082815170288
46,1.151051640510559,4.031308889389038
49,1.0971235036849976,4.286992073059082
52,1.1308505535125732,4.56615948677063
55,1.1041088104248047,4.810391664505005
58,1.1696178913116455,5.071589469909668
61,1.0996118783950806,5.3335957527160645
64,1.1238646507263184,5.603212118148804
67,1.1099122762680054,5.8362555503845215
70,1.1338530778884888,6.095587968826294
73,1.111329436302185,6.370630264282227
76,1.140749216079712,6.625690937042236
79,1.1565314531326294,6.833576917648315
82,1.1220754384994507,7.060407400131226
85,1.1379683017730713,7.332284212112427
88,1.1108893156051636,7.567347049713135
91,1.1145247220993042,7.851891040802002
94,1.1297199726104736,8.10443377494812
97,1.137463092803955,8.357672929763794
100,1.1598073244094849,8.605117082595825
103,1.103349208831787,8.866411924362183
106,1.1395190954208374,9.156283617019653
109,1.1432896852493286,9.406928539276123
112,1.123227834701538,9.671820163726807
115,1.1092952489852905,9.927294254302979
118,1.1342031955718994,10.158180952072144
121,1.151344656944275,10.392594814300537
124,1.122584342956543,10.639719724655151
127,1.0991382598876953,10.8836088180542
130,1.1239442825317383,11.136248111724854
133,1.1383894681930542,11.393619060516357
136,1.0897053480148315,11.649114608764648
139,1.1512627601623535,11.854002475738525
142,1.1306748390197754,12.098766565322876
145,1.1313650608062744,12.396499395370483
148,1.1141548156738281,12.671198606491089
151,1.116184949874878,12.952004432678223
154,1.1300088167190552,13.213608503341675
157,1.1416006088256836,13.473709344863892
160,1.1121536493301392,13.767104864120483
163,1.1515446901321411,14.010284662246704
166,1.1301990747451782,14.265808582305908
169,1.144912600517273,14.514142751693726
172,1.1294306516647339,14.737207174301147
175,1.1231493949890137,14.9703688621521
178,1.1284477710723877,15.197894811630249
181,1.0824381113052368,15.451441049575806
184,1.1393797397613525,15.715835809707642
187,1.1212669610977173,15.988732099533081
190,1.1308542490005493,16.240904808044434
193,1.145833134651184,16.495137214660645
196,1.0729272365570068,16.729137897491455
199,1.1530706882476807,16.972798347473145
202,1.1640162467956543,17.21879744529724
205,1.1015828847885132,17.478722095489502
208,1.146024465560913,17.74224090576172
211,1.108780860900879,17.981107473373413
214,1.1877878904342651,18.238898277282715
217,1.1097993850708008,18.46976065635681
220,1.129056453704834,18.711132287979126
223,1.1102194786071777,18.946927309036255
226,1.1588386297225952,19.207303285598755
229,1.152395486831665,19.457087516784668
232,1.1197795867919922,19.719080686569214
235,1.1203423738479614,19.961222887039185
238,1.0995651483535767,20.273869514465332
241,1.1236975193023682,20.52704095840454
244,1.1316518783569336,20.77675437927246
247,1.1205321550369263,21.02601647377014
250,1.1166638135910034,21.27242088317871
253,1.1211216449737549,21.517466068267822
256,1.1322121620178223,21.75419545173645
259,1.1209028959274292,22.01727867126465
262,1.1610894203186035,22.266265392303467
265,1.1350154876708984,22.500176906585693
268,1.1242496967315674,22.73849058151245
271,1.0955814123153687,22.96716833114624
274,1.0985034704208374,23.212361335754395
277,1.136116623878479,23.465530395507812
280,1.1544593572616577,23.731467485427856
283,1.094528317451477,23.98761749267578
286,1.1202044486999512,24.24866509437561
289,1.1271216869354248,24.51363468170166
292,1.1219714879989624,24.78614330291748
295,1.1028391122817993,25.053919553756714
298,1.0989872217178345,25.31683087348938
301,1.1135741472244263,25.558839082717896
304,1.1109070777893066,25.852814435958862
307,1.1412850618362427,26.145090341567993
310,1.1204240322113037,26.393982648849487
313,1.10957670211792,26.630823373794556
316,1.118087649345398,26.891571044921875
319,1.1466022729873657,27.15548014640808
322,1.1097629070281982,27.394792318344116
325,1.1044702529907227,27.662554264068604
328,1.116422176361084,27.9023015499115
331,1.1164685487747192,28.153706312179565
334,1.1692237854003906,28.432096242904663
337,1.1484732627868652,28.711066484451294
340,1.0893917083740234,28.98513627052307
343,1.159566879272461,29.25470542907715
346,1.1233888864517212,29.51788091659546
349,1.1449519395828247,29.77690362930298
352,1.1695117950439453,30.035267114639282
355,1.113340973854065,30.255151748657227
358,1.1674479246139526,30.518272638320923
361,1.1724233627319336,30.76098895072937
364,1.152350902557373,31.031219482421875
367,1.11627995967865,31.272459506988525
370,1.1333259344100952,31.51154088973999
373,1.1128342151641846,31.76388168334961
376,1.1195781230926514,31.996055603027344
379,1.1571990251541138,32.23603415489197
382,1.123471736907959,32.47391748428345
385,1.1147719621658325,32.71118497848511
388,1.1280107498168945,32.96949887275696
391,1.1177886724472046,33.263286113739014
394,1.1280651092529297,33.513731479644775
397,1.1318964958190918,33.787593841552734
400,1.1236222982406616,34.03631567955017
403,1.1042907238006592,34.317444801330566
406,1.148084044456482,34.57074761390686
409,1.1485073566436768,34.808377504348755
412,1.1611908674240112,35.03659677505493
415,1.1150492429733276,35.2802996635437
418,1.1257553100585938,35.52728796005249
421,1.0989185571670532,35.79560375213623
424,1.1435900926589966,36.04926061630249
427,1.1347275972366333,36.293906450271606
430,1.1357940435409546,36.536471128463745
433,1.100868582725525,36.78040862083435
436,1.1029187440872192,37.028783559799194
439,1.107815146446228,37.28946399688721
442,1.112257957458496,37.548189640045166
445,1.1519540548324585,37.765621185302734
448,1.1098434925079346,38.00953674316406
451,1.1498703956604004,38.26463747024536
454,1.1141914129257202,38.544832706451416
457,1.0991284847259521,38.77904772758484
460,1.1187851428985596,39.00628304481506
463,1.0938953161239624,39.282246589660645
466,1.1513376235961914,39.54280638694763
469,1.1155450344085693,39.77884769439697
472,1.1099973917007446,40.05806279182434
475,1.1468324661254883,40.29444479942322
478,1.1265759468078613,40.539594650268555
481,1.1203992366790771,40.7822585105896
484,1.1186400651931763,41.02163362503052
487,1.0897728204727173,41.24887251853943
490,1.1541966199874878,41.47870373725891
493,1.086243987083435,41.722008228302
496,1.1184993982315063,41.96259593963623
499,1.134508490562439,42.20044994354248
502,1.1393057107925415,42.44826340675354
505,1.1401177644729614,42.68963050842285
508,1.1233206987380981,42.944685220718384
511,1.1041103601455688,43.24490189552307
514,1.1324405670166016,43.49833083152771
517,1.1323715448379517,43.76841139793396
520,1.1819509267807007,44.03253936767578
523,1.1301677227020264,44.249669313430786
526,1.1405370235443115,44.48884415626526
529,1.1130651235580444,44.74731969833374
532,1.1108547449111938,44.960689544677734
535,1.1203869581222534,45.216214656829834
538,1.1107233762741089,45.508103132247925
541,1.119513988494873,45.752896308898926
544,1.1179075241088867,45.9817054271698
547,1.1340867280960083,46.21414828300476
550,1.1052178144454956,46.459402561187744
553,1.1288127899169922,46.689969301223755
556,1.1424001455307007,46.95846486091614
559,1.1311745643615723,47.19386267662048
562,1.1401640176773071,47.517823457717896
565,1.1184993982315063,47.72504281997681
568,1.1871870756149292,47.979960918426514
571,1.1566704511642456,48.22970700263977
574,1.1712807416915894,48.45103478431702
577,1.1179405450820923,48.71970319747925
580,1.1390498876571655,48.97349286079407
583,1.1086390018463135,49.204835653305054
586,1.0919517278671265,49.453163862228394
589,1.1525228023529053,49.70910859107971
592,1.1392600536346436,49.9666702747345
595,1.1384631395339966,50.21380281448364
598,1.1214534044265747,50.476197719573975
601,1.1518529653549194,50.71241497993469
604,1.1310296058654785,50.95693492889404
607,1.1236965656280518,51.189003467559814
610,1.154531717300415,51.41045165061951
613,1.1173478364944458,51.6584267616272
616,1.1468685865402222,51.88540506362915
619,1.1332184076309204,52.103229999542236
622,1.1053839921951294,52.3305983543396
625,1.099226713180542,52.56838631629944
628,1.15669584274292,52.82684302330017
631,1.1527104377746582,53.08829927444458
634,1.1154959201812744,53.32839846611023
637,1.1489152908325195,53.5452618598938
640,1.1190168857574463,53.75871205329895
643,1.1048861742019653,54.00661659240723
646,1.1355236768722534,54.23656129837036
649,1.112868309020996,54.44700312614441
652,1.0829250812530518,54.68575954437256
