sample,M3,sec
2,164,0.0020041465759277344
5,164,0.0020041465759277344
8,164,0.004006147384643555
11,165,0.005004405975341797
14,165,0.00600123405456543
17,165,0.007091045379638672
20,162,0.008081197738647461
23,166,0.008081197738647461
26,161,0.009298324584960938
29,164,0.01044774055480957
32,165,0.011464834213256836
35,164,0.012368440628051758
38,164,0.012368440628051758
41,164,0.013371706008911133
44,166,0.013371706008911133
47,167,0.014366626739501953
50,165,0.014366626739501953
53,163,0.015367269515991211
56,161,0.016367197036743164
59,165,0.01745748519897461
62,167,0.01745748519897461
65,169,0.018400192260742188
68,169,0.01954340934753418
71,162,0.02066659927368164
74,166,0.02066659927368164
77,165,0.021672964096069336
80,168,0.022670745849609375
83,161,0.022670745849609375
86,166,0.0236666202545166
89,164,0.0236666202545166
92,168,0.024669408798217773
95,166,0.025665283203125
98,165,0.025665283203125
101,163,0.026663780212402344
104,165,0.02766585350036621
107,164,0.028664112091064453
110,169,0.029752016067504883
113,165,0.029752016067504883
116,171,0.029752016067504883
119,165,0.030893802642822266
122,169,0.03189992904663086
125,164,0.03280520439147949
128,165,0.033805131912231445
131,169,0.033805131912231445
134,164,0.03580975532531738
137,166,0.036809444427490234
140,163,0.036809444427490234
143,166,0.03780794143676758
146,165,0.038803815841674805
149,168,0.038803815841674805
152,164,0.04003119468688965
155,164,0.04102945327758789
158,167,0.04102945327758789
161,159,0.042037248611450195
164,167,0.0430302619934082
167,164,0.044035911560058594
170,161,0.04503631591796875
173,159,0.04503631591796875
176,165,0.0470278263092041
179,163,0.0470278263092041
182,167,0.04802751541137695
185,167,0.04802751541137695
188,164,0.04913973808288574
191,169,0.050200462341308594
194,170,0.05118989944458008
197,168,0.052191734313964844
200,165,0.053168296813964844
203,166,0.054174184799194336
206,164,0.054174184799194336
209,162,0.05517268180847168
212,167,0.056177616119384766
215,163,0.057175397872924805
218,165,0.058170318603515625
221,164,0.058170318603515625
224,167,0.059302568435668945
227,167,0.059302568435668945
230,166,0.06037449836730957
233,168,0.06137681007385254
236,168,0.06137681007385254
239,170,0.062374114990234375
242,166,0.06338119506835938
245,168,0.06437849998474121
248,163,0.06537437438964844
251,164,0.06537437438964844
254,170,0.06637454032897949
257,167,0.06737375259399414
260,166,0.0683739185333252
263,167,0.0695030689239502
266,162,0.0695030689239502
269,167,0.0705561637878418
272,165,0.071533203125
275,165,0.07255744934082031
278,162,0.07255744934082031
281,163,0.07353901863098145
284,160,0.07453298568725586
287,168,0.07553577423095703
290,164,0.07553577423095703
293,165,0.07653212547302246
296,162,0.07753586769104004
299,164,0.07856273651123047
302,162,0.07973909378051758
305,164,0.08087301254272461
308,163,0.08087301254272461
311,163,0.0818777084350586
314,167,0.08288407325744629
317,164,0.08388447761535645
320,164,0.08488035202026367
323,166,0.08488035202026367
326,171,0.08588552474975586
329,163,0.0868840217590332
332,167,0.0878748893737793
335,165,0.09007883071899414
338,167,0.0921030044555664
341,167,0.09312963485717773
344,170,0.09411859512329102
347,167,0.09509921073913574
350,166,0.09509921073913574
353,161,0.09609842300415039
356,164,0.09710025787353516
359,166,0.0980997085571289
362,164,0.09921789169311523
365,165,0.10026717185974121
368,162,0.10124373435974121
371,164,0.1022500991821289
374,164,0.10324573516845703
377,161,0.10425233840942383
380,166,0.10425233840942383
383,164,0.10610055923461914
386,165,0.10610055923461914
389,164,0.10710787773132324
392,161,0.1081085205078125
395,167,0.10910654067993164
398,165,0.1101083755493164
401,164,0.11110877990722656
404,165,0.11110877990722656
407,167,0.11211752891540527
410,166,0.11314010620117188
413,171,0.11412668228149414
416,168,0.11512565612792969
419,166,0.11610865592956543
422,166,0.11710548400878906
425,166,0.11760926246643066
428,163,0.11904191970825195
431,170,0.12005352973937988
434,167,0.12005352973937988
437,165,0.12106466293334961
440,165,0.12208318710327148
443,163,0.12305450439453125
446,163,0.1240537166595459
449,165,0.12505340576171875
452,167,0.12505340576171875
455,167,0.12607455253601074
458,162,0.12705183029174805
461,171,0.12705183029174805
464,166,0.12807130813598633
467,165,0.12807130813598633
470,171,0.12919378280639648
473,166,0.1302661895751953
476,165,0.13126873970031738
479,165,0.13126873970031738
482,170,0.13229084014892578
485,167,0.13329195976257324
488,162,0.13430380821228027
491,167,0.13530373573303223
494,165,0.1362926959991455
497,163,0.13727235794067383
500,168,0.13727235794067383
503,163,0.13826608657836914
506,167,0.13939332962036133
509,168,0.1405477523803711
512,165,0.14156675338745117
515,164,0.14256596565246582
518,165,0.14256596565246582
521,164,0.14354848861694336
524,166,0.14455080032348633
527,165,0.14455080032348633
530,164,0.14555072784423828
533,162,0.14655613899230957
536,165,0.14755606651306152
539,166,0.14755606651306152
542,159,0.14855599403381348
545,164,0.14855599403381348
548,169,0.14969730377197266
551,168,0.15078997611999512
554,168,0.15179848670959473
557,162,0.15179848670959473
560,166,0.1528029441833496
563,168,0.15480327606201172
566,164,0.15680694580078125
569,164,0.15779638290405273
572,164,0.1587977409362793
575,167,0.1587977409362793
578,160,0.15999174118041992
581,165,0.16096949577331543
584,165,0.16199064254760742
587,159,0.16298794746398926
590,170,0.16399908065795898
593,168,0.16496944427490234
596,168,0.1659708023071289
599,163,0.1659708023071289
602,165,0.1669907569885254
605,162,0.16797089576721191
608,165,0.16908478736877441
611,163,0.16908478736877441
614,164,0.17024707794189453
617,168,0.1712183952331543
620,164,0.17222142219543457
623,162,0.1732189655303955
626,164,0.1742403507232666
629,167,0.17523932456970215
632,167,0.17523932456970215
635,167,0.1762394905090332
638,164,0.17723894119262695
641,167,0.17882585525512695
644,165,0.17882585525512695
647,167,0.18002963066101074
650,166,0.18103504180908203
653,163,0.18203186988830566
656,162,0.1830310821533203
659,164,0.18402886390686035
662,167,0.18402886390686035
665,166,0.1860339641571045
668,168,0.18703317642211914
671,166,0.1880345344543457
674,166,0.18924880027770996
677,169,0.18924880027770996
680,165,0.19040250778198242
683,162,0.19140124320983887
686,165,0.19140124320983887
689,166,0.19239258766174316
692,165,0.19389843940734863
695,165,0.19493675231933594
698,163,0.19493675231933594
701,164,0.19594764709472656
704,165,0.1969449520111084
707,165,0.19794702529907227
710,163,0.1989457607269287
713,167,0.20015192031860352
716,165,0.2011423110961914
719,165,0.2011423110961914
722,164,0.20214056968688965
725,168,0.2031409740447998
728,160,0.20416665077209473
731,166,0.20516014099121094
734,163,0.20614075660705566
737,162,0.20714640617370605
740,165,0.2081444263458252
743,166,0.2081444263458252
746,163,0.20926475524902344
749,168,0.21042513847351074
752,164,0.21147584915161133
755,169,0.21147584915161133
758,163,0.2124617099761963
761,170,0.21344351768493652
764,165,0.21444487571716309
767,165,0.21544671058654785
770,165,0.2164456844329834
773,165,0.21744561195373535
776,165,0.21744561195373535
779,163,0.2184443473815918
782,163,0.219620943069458
785,165,0.22076106071472168
788,168,0.2217557430267334
791,166,0.22277545928955078
794,162,0.22379589080810547
797,169,0.22379589080810547
800,168,0.2247786521911621
803,167,0.22576451301574707
806,165,0.22775793075561523
809,165,0.22775793075561523
812,166,0.22875452041625977
815,168,0.22875452041625977
818,164,0.22994112968444824
821,166,0.22994112968444824
824,163,0.2309279441833496
827,166,0.2309279441833496
830,172,0.2319469451904297
833,160,0.23294901847839355
836,167,0.23294901847839355
839,172,0.23392963409423828
842,166,0.23492836952209473
845,162,0.23593497276306152
848,165,0.23693561553955078
