sample,M1,M2,m2_excluded,edges,sec
0,0.25376302003860474,1.6115193367004395,0,1843,0.24678921699523926
3,0.25376302003860474,1.6125762462615967,0,1843,0.49054956436157227
6,0.25376302003860474,1.6082863807678223,0,1843,0.7489264011383057
9,0.25376302003860474,1.6110605001449585,0,1843,0.9849631786346436
12,0.25376302003860474,1.6016499996185303,0,1843,1.2826781272888184
15,0.25376302003860474,1.6205488443374634,0,1843,1.5760324001312256
18,0.25376302003860474,1.5937864780426025,0,1843,1.879115104675293
21,0.25376302003860474,1.6077080965042114,0,1843,2.1720738410949707
24,0.25376302003860474,1.604265570640564,0,1843,2.4749977588653564
27,0.25376302003860474,1.5930287837982178,0,1843,2.7793257236480713
30,0.25376302003860474,1.60076105594635,0,1843,3.0537683963775635
33,0.25376302003860474,1.5959725379943848,0,1843,3.311206817626953
36,0.25376302003860474,1.6044836044311523,1,1843,3.5829339027404785
39,0.25376302003860474,1.6032174825668335,0,1843,3.835693836212158
42,0.25376302003860474,1.586438536643982,0,1843,4.108813285827637
45,0.25376302003860474,1.6120948791503906,0,1843,4.46424412727356
48,0.25376302003860474,1.5998780727386475,0,1843,4.723192453384399
51,0.25376302003860474,1.6042321920394897,0,1843,4.981599807739258
54,0.25376302003860474,1.5869723558425903,0,1843,5.204725742340088
57,0.25376302003860474,1.5990742444992065,0,1843,5.46347713470459
60,0.25376302003860474,1.6003804206848145,0,1843,5.748697757720947
63,0.25376302003860474,1.6129844188690186,0,1843,6.017179250717163
66,0.25376302003860474,1.5962191820144653,0,1843,6.252131700515747
69,0.25376302003860474,1.5919299125671387,0,1843,6.503844261169434
72,0.25376302003860474,1.6077016592025757,0,1843,6.75575590133667
75,0.25376302003860474,1.5997354984283447,0,1843,7.020777702331543
78,0.25376302003860474,1.5946284532546997,0,1843,7.2841949462890625
81,0.25376302003860474,1.5947686433792114,0,1843,7.529190301895142
84,0.25376302003860474,1.5958422422409058,0,1843,7.7809693813323975
87,0.25376302003860474,1.608413577079773,1,1843,8.063431024551392
90,0.25376302003860474,1.6051737070083618,0,1843,8.326489448547363
93,0.25376302003860474,1.594372034072876,0,1843,8.606770038604736
96,0.25376302003860474,1.602187991142273,0,1843,8.848050117492676
99,0.25376302003860474,1.597988486289978,0,1843,9.100826501846313
102,0.25376302003860474,1.614760398864746,0,1843,9.348407983779907
105,0.25376302003860474,1.6020610332489014,0,1843,9.5808744430542
108,0.25376302003860474,1.6035507917404175,0,1843,9.85240387916565
111,0.25376302003860474,1.6088285446166992,0,1843,10.118384838104248
114,0.25376302003860474,1.6000962257385254,0,1843,10.432307958602905
117,0.25376302003860474,1.6032286882400513,0,1843,10.768211126327515
120,0.25376302003860474,1.6071505546569824,0,1843,11.043540716171265
123,0.25376302003860474,1.5945390462875366,0,1843,11.304178714752197
126,0.25376302003860474,1.5984563827514648,0,1843,11.548184394836426
129,0.25376302003860474,1.5880018472671509,0,1843,11.81327486038208
132,0.25376302003860474,1.6032406091690063,0,1843,12.100015878677368
135,0.25376302003860474,1.6069495677947998,0,1843,12.40288496017456
138,0.25376302003860474,1.58657705783844,0,1843,12.670976877212524
141,0.25376302003860474,1.602198600769043,0,1843,12.923744440078735
144,0.25376302003860474,1.6013292074203491,0,1843,13.190609455108643
147,0.25376302003860474,1.6022186279296875,0,1843,13.488467454910278
150,0.25376302003860474,1.5973588228225708,0,1843,13.772019863128662
153,0.25376302003860474,1.582245945930481,0,1843,14.039852142333984
156,0.25376302003860474,1.6079469919204712,0,1843,14.275104522705078
159,0.25376302003860474,1.6225005388259888,0,1843,14.501317977905273
162,0.25376302003860474,1.5857503414154053,0,1843,14.815510034561157
165,0.25376302003860474,1.6031150817871094,0,1843,15.083569049835205
168,0.25376302003860474,1.5941855907440186,0,1843,15.356574535369873
171,0.25376302003860474,1.6083242893218994,0,1843,15.606519937515259
174,0.25376302003860474,1.5849961042404175,0,1843,15.854570388793945
177,0.25376302003860474,1.593707799911499,0,1843,16.16254711151123
180,0.25376302003860474,1.5932588577270508,0,1843,16.4165940284729
183,0.25376302003860474,1.6092288494110107,1,1843,16.66881227493286
186,0.25376302003860474,1.5990204811096191,0,1843,16.93529772758484
189,0.25376302003860474,1.6137877702713013,0,1843,17.18622398376465
192,0.25376302003860474,1.6094896793365479,0,1843,17.438390254974365
195,0.25376302003860474,1.6031705141067505,0,1843,17.662903785705566
198,0.25376302003860474,1.5894114971160889,0,1843,17.983827829360962
201,0.25376302003860474,1.600009560585022,0,1843,18.278156757354736
204,0.25376302003860474,1.6042083501815796,0,1843,18.569054126739502
207,0.25376302003860474,1.5865505933761597,0,1843,18.823102951049805
210,0.25376302003860474,1.582497000694275,0,1843,19.050606966018677
213,0.25376302003860474,1.5948480367660522,0,1843,19.3171443939209
216,0.25376302003860474,1.6071226596832275,0,1843,19.61066746711731
219,0.25376302003860474,1.6017054319381714,0,1843,19.908655881881714
222,0.25376302003860474,1.5977576971054077,0,1843,20.161442756652832
225,0.25376302003860474,1.5972834825515747,0,1843,20.489721059799194
228,0.25376302003860474,1.6164450645446777,0,1843,20.813413858413696
231,0.25376302003860474,1.6010115146636963,0,1843,21.09328579902649
234,0.25376302003860474,1.5960581302642822,0,1843,21.36807656288147
237,0.25376302003860474,1.6081767082214355,0,1843,21.665854454040527
