sample,M1,M2,m2_excluded,edges,sec
1,0.25376302003860474,1.4607930183410645,0,1843,0.24161434173583984
4,0.25376302003860474,1.4502547979354858,0,1843,0.4790687561035156
7,0.25376302003860474,1.4687691926956177,0,1843,0.8059337139129639
10,0.25376302003860474,1.4326932430267334,0,1843,1.0803005695343018
13,0.25376302003860474,1.4708151817321777,0,1843,1.3367652893066406
16,0.25376302003860474,1.4654747247695923,0,1843,1.6033458709716797
19,0.25376302003860474,1.4539289474487305,0,1843,1.8776211738586426
22,0.25376302003860474,1.4548622369766235,0,1843,2.142059326171875
25,0.25376302003860474,1.4708952903747559,0,1843,2.3936052322387695
28,0.25376302003860474,1.4760448932647705,0,1843,2.7518489360809326
31,0.25376302003860474,1.4558465480804443,0,1843,3.0266220569610596
34,0.25376302003860474,1.4667108058929443,0,1843,3.2960591316223145
37,0.25376302003860474,1.4549366235733032,0,1843,3.5870862007141113
40,0.25376302003860474,1.4592450857162476,0,1843,3.8506152629852295
43,0.25376302003860474,1.4466761350631714,0,1843,4.136301755905151
46,0.25376302003860474,1.468225359916687,0,1843,4.392993688583374
49,0.25376302003860474,1.449487328529358,0,1843,4.62684178352356
52,0.25376302003860474,1.4612356424331665,0,1843,4.870100736618042
55,0.25376302003860474,1.453749656677246,0,1843,5.153226613998413
58,0.25376302003860474,1.4619674682617188,0,1843,5.378983020782471
61,0.25376302003860474,1.4617644548416138,0,1843,5.690133333206177
64,0.25376302003860474,1.4702435731887817,0,1843,5.970507383346558
67,0.25376302003860474,1.4684290885925293,0,1843,6.208337306976318
70,0.25376302003860474,1.4690852165222168,0,1843,6.4383158683776855
73,0.25376302003860474,1.4674055576324463,0,1843,6.721842527389526
76,0.25376302003860474,1.4515151977539062,0,1843,6.999315500259399
79,0.25376302003860474,1.4708178043365479,0,1843,7.2077412605285645
82,0.25376302003860474,1.4754047393798828,0,1843,7.484086275100708
85,0.25376302003860474,1.455618977546692,0,1843,7.7706263065338135
88,0.25376302003860474,1.4557524919509888,0,1843,8.072446823120117
91,0.25376302003860474,1.459939956665039,0,1843,8.314509153366089
94,0.25376302003860474,1.4753031730651855,0,1843,8.60902738571167
97,0.25376302003860474,1.4464740753173828,0,1843,8.91764783859253
100,0.25376302003860474,1.4425874948501587,0,1843,9.175684213638306
103,0.25376302003860474,1.4536799192428589,0,1843,9.503652811050415
106,0.25376302003860474,1.4732874631881714,0,1843,9.763973951339722
109,0.25376302003860474,1.4555727243423462,0,1843,10.046745300292969
112,0.25376302003860474,1.4666767120361328,0,1843,10.331917762756348
115,0.25376302003860474,1.4657282829284668,0,1843,10.592806816101074
118,0.25376302003860474,1.474024772644043,0,1843,10.82472276687622
121,0.25376302003860474,1.4577362537384033,0,1843,11.11958646774292
124,0.25376302003860474,1.4734314680099487,0,1843,11.37568974494934
127,0.25376302003860474,1.4501103162765503,0,1843,11.612533569335938
130,0.25376302003860474,1.465808629989624,0,1843,11.907668113708496
133,0.25376302003860474,1.449756145477295,0,1843,12.173649787902832
136,0.25376302003860474,1.441462755203247,0,1843,12.440725326538086
139,0.25376302003860474,1.4626187086105347,1,1843,12.74079942703247
142,0.25376302003860474,1.4718046188354492,0,1843,13.042547225952148
145,0.25376302003860474,1.4618321657180786,0,1843,13.249913930892944
148,0.25376302003860474,1.4701364040374756,0,1843,13.518998622894287
151,0.25376302003860474,1.4656153917312622,0,1843,13.779313564300537
154,0.25376302003860474,1.46998131275177,0,1843,14.051974296569824
157,0.25376302003860474,1.4690061807632446,1,1843,14.284859418869019
160,0.25376302003860474,1.4655115604400635,0,1843,14.529435873031616
163,0.25376302003860474,1.4703326225280762,0,1843,14.758472681045532
166,0.25376302003860474,1.4705407619476318,0,1843,15.03006100654602
169,0.25376302003860474,1.4495517015457153,0,1843,15.32996916770935
172,0.25376302003860474,1.4501675367355347,0,1843,15.646953821182251
175,0.25376302003860474,1.4591509103775024,0,1843,15.859139680862427
178,0.25376302003860474,1.470125675201416,0,1843,16.071348190307617
181,0.25376302003860474,1.45228111743927,0,1843,16.306637048721313
184,0.25376302003860474,1.4626352787017822,0,1843,16.53249716758728
187,0.25376302003860474,1.464709997177124,0,1843,16.768828630447388
190,0.25376302003860474,1.456967830657959,0,1843,17.013487577438354
193,0.25376302003860474,1.4569717645645142,0,1843,17.25715947151184
196,0.25376302003860474,1.451219916343689,0,1843,17.55399799346924
199,0.25376302003860474,1.4478093385696411,0,1843,17.821588277816772
202,0.25376302003860474,1.4680510759353638,0,1843,18.072917699813843
205,0.25376302003860474,1.4709482192993164,0,1843,18.270875215530396
208,0.25376302003860474,1.4400663375854492,0,1843,18.536343812942505
211,0.25376302003860474,1.4559452533721924,0,1843,18.787036180496216
214,0.25376302003860474,1.4569329023361206,0,1843,19.029059410095215
217,0.25376302003860474,1.473792314529419,0,1843,19.284292221069336
220,0.25376302003860474,1.4603725671768188,0,1843,19.55840563774109
223,0.25376302003860474,1.4677131175994873,0,1843,19.815133810043335
226,0.25376302003860474,1.451401710510254,0,1843,20.118324995040894
229,0.25376302003860474,1.4751765727996826,0,1843,20.402824878692627
232,0.25376302003860474,1.448427438735962,0,1843,20.65333890914917
235,0.25376302003860474,1.456272840499878,0,1843,20.883951425552368
238,0.25376302003860474,1.4549661874771118,0,1843,21.14886736869812
241,0.25376302003860474,1.434627890586853,0,1843,21.42649245262146
244,0.25376302003860474,1.4671956300735474,0,1843,21.71858835220337
247,0.25376302003860474,1.4551390409469604,0,1843,22.03384828567505
250,0.25376302003860474,1.4565942287445068,0,1843,22.196991682052612
253,0.25376302003860474,1.452086091041565,0,1843,22.376603603363037
256,0.25376302003860474,1.457849144935608,0,1843,22.536046743392944
259,0.25376302003860474,1.4572314023971558,0,1843,22.716846227645874
262,0.25376302003860474,1.457655668258667,0,1843,22.885857582092285
265,0.25376302003860474,1.4558902978897095,0,1843,23.043227672576904
268,0.25376302003860474,1.4666355848312378,0,1843,23.244051456451416
271,0.25376302003860474,1.4900703430175781,1,1843,23.440420866012573
274,0.25376302003860474,1.4652551412582397,0,1843,23.59856915473938
277,0.25376302003860474,1.4580812454223633,0,1843,23.799581289291382
280,0.25376302003860474,1.4642478227615356,0,1843,23.9597647190094
283,0.25376302003860474,1.4643031358718872,0,1843,24.141180753707886
286,0.25376302003860474,1.4735713005065918,0,1843,24.28661608695984
289,0.25376302003860474,1.4674290418624878,0,1843,24.49704360961914
292,0.25376302003860474,1.4637465476989746,0,1843,24.717710256576538
295,0.25376302003860474,1.4775804281234741,1,1843,24.925018548965454
298,0.25376302003860474,1.4814099073410034,0,1843,25.213114261627197
301,0.25376302003860474,1.4540975093841553,0,1843,25.469364404678345
304,0.25376302003860474,1.477716326713562,0,1843,25.803019762039185
307,0.25376302003860474,1.4714304208755493,0,1843,26.11076521873474
310,0.25376302003860474,1.467517614364624,0,1843,26.51817488670349
313,0.25376302003860474,1.4575058221817017,0,1843,26.921729803085327
316,0.25376302003860474,1.4760410785675049,0,1843,27.16140913963318
319,0.25376302003860474,1.4588642120361328,0,1843,27.397602319717407
322,0.25376302003860474,1.4604254961013794,0,1843,27.70435881614685
325,0.25376302003860474,1.4382623434066772,0,1843,28.004565715789795
328,0.25376302003860474,1.445216178894043,0,1843,28.222460985183716
331,0.25376302003860474,1.4537683725357056,0,1843,28.456841707229614
334,0.25376302003860474,1.4557141065597534,0,1843,28.72327733039856
337,0.25376302003860474,1.4519113302230835,0,1843,29.00204110145569
340,0.25376302003860474,1.4629604816436768,0,1843,29.22844123840332
343,0.25376302003860474,1.471046805381775,0,1843,29.49325942993164
346,0.25376302003860474,1.4440966844558716,0,1843,29.780269622802734
