sample,M4,sec
2,0.046154684508891555,0.002001523971557617
5,0.04692865415455623,0.003000974655151367
8,0.047576650301102606,0.004030704498291016
11,0.05725462421529967,0.00500178337097168
14,0.05010399113342441,0.0060007572174072266
17,0.049774920823477516,0.0070018768310546875
20,0.03910536919626731,0.008003711700439453
23,0.05844158675636006,0.009000062942504883
26,0.044252943359536605,0.009999752044677734
29,0.05484864282928383,0.010998964309692383
32,0.041885995459056316,0.010998964309692383
35,0.04043527829157696,0.011998653411865234
38,0.047733575372657336,0.014002561569213867
41,0.06103938286372168,0.01521754264831543
44,0.04535548400255825,0.017220735549926758
47,0.04559929267631441,0.020217180252075195
50,0.06790757066798712,0.022214412689208984
53,0.05386135324673811,0.02321791648864746
56,0.04407321898441464,0.024214506149291992
59,0.06116387779533177,0.025215864181518555
62,0.04080926024987383,0.026215314865112305
65,0.04873219973937774,0.026215314865112305
68,0.043612121107831865,0.028214693069458008
71,0.049851969609166505,0.028720855712890625
74,0.05747867324093519,0.030759096145629883
77,0.04540977620671653,0.033728599548339844
80,0.052805718154663395,0.03583240509033203
83,0.04117320709076766,0.03683042526245117
86,0.05408110561487642,0.03782987594604492
89,0.03774309119667839,0.03983163833618164
92,0.04692891199425615,0.04083418846130371
95,0.04476246498958189,0.04183197021484375
98,0.044300452085495504,0.042832136154174805
101,0.04230505849723465,0.04383420944213867
104,0.05597912932748217,0.04586219787597656
107,0.040101675371916834,0.046845197677612305
110,0.050351348831691775,0.04884696006774902
113,0.044041852119909346,0.04984474182128906
116,0.040011425903472064,0.05183100700378418
119,0.04861264162561263,0.05183100700378418
122,0.04925687294041359,0.0538477897644043
125,0.049942590998658117,0.0538477897644043
128,0.046342658714448134,0.056073665618896484
131,0.03833348270679105,0.05704975128173828
134,0.055934225230270994,0.05805397033691406
137,0.043999409364030996,0.05905556678771973
140,0.04985920303941593,0.060053348541259766
143,0.0450330135602629,0.061051368713378906
146,0.05478953730556042,0.06205415725708008
149,0.04816502891015971,0.06305289268493652
152,0.05417893994977106,0.06405210494995117
155,0.06496565342229346,0.06514859199523926
158,0.0406277497863088,0.06615662574768066
161,0.038715626410010744,0.06714773178100586
164,0.04753523565784716,0.06914877891540527
167,0.058001895831162435,0.07016134262084961
170,0.04936576561724333,0.07214951515197754
173,0.04518131726684896,0.07426595687866211
176,0.03899696859892743,0.0773477554321289
179,0.054733073786713354,0.07834887504577637
182,0.049849142272667735,0.07934713363647461
185,0.04267584561674916,0.08034706115722656
188,0.04993707740303705,0.08034706115722656
191,0.0639838465451762,0.08134818077087402
194,0.05083028926895278,0.08234524726867676
197,0.05077769435489454,0.08334898948669434
200,0.0407956773463818,0.08334898948669434
203,0.04437839489688951,0.08457469940185547
206,0.04355962389377231,0.08562350273132324
209,0.04403046527288479,0.0876309871673584
212,0.04820868593885167,0.08861041069030762
215,0.05185471255299484,0.08964061737060547
218,0.04263629355088946,0.09060811996459961
221,0.049556161053399495,0.09261035919189453
224,0.04139967171230864,0.09261035919189453
227,0.050726303957544454,0.09472131729125977
230,0.05241403425022686,0.09686160087585449
233,0.055896716572431254,0.09885573387145996
236,0.03903111800138179,0.099853515625
239,0.050379364292722016,0.10085415840148926
