embed,i,lam
M(93x93),0,8.71006755391323e-16
M(93x93),1,6.063821831061247e-14
M(93x93),2,6.539234784468271
M(93x93),3,7.640824901923672
M(93x93),4,9.26385327446608
M(93x93),5,11.752973827724874
S(51x51),0,1.079716006939625e-12
S(51x51),1,1.3401534013275433e-11
S(51x51),2,1291.0935166207973
S(51x51),3,1534.1854268536017
S(51x51),4,1825.1666992739283
S(51x51),5,2248.036120701192
