embed,kume,root_id,x,y,r,angle_deg
M(93x93),EPG,720575940614297640,-0.03562654316357964,0.042197890119371764,0.05522601296774012,130.17350239216287
M(93x93),EPG,720575940626449082,-0.07259343464480274,0.08529670046480003,0.1120059545904195,130.40009836519027
M(93x93),EPG,720575940619006272,-0.050896712132419086,0.057201289438065225,0.076566721356394,131.66213135882325
M(93x93),EPG,720575940631708836,-0.06856008192781517,0.06893061109273375,0.09722095442632973,134.84559168715322
M(93x93),EPG,720575940658101889,-0.029071374508929368,0.03215644259703675,0.04334952844420533,132.11549376895402
M(93x93),EPG,720575940613829900,-0.07663440833114835,0.06992277889521095,0.10374019254220508,137.6220450836364
M(93x93),EPG,720575940631125036,-0.03833787847903753,0.0076704061548572575,0.039097673292076286,168.6860001724173
M(93x93),EPG,720575940628493572,0.054367113559791944,-0.09261999976398361,0.10739761353542074,300.41255386286787
M(93x93),EPG,720575940611216099,0.052683957491340236,-0.059981583101190436,0.0798335123132781,311.2939877464258
M(93x93),EPG,720575940619296365,0.00978073438316717,-0.00819732595126961,0.012761618934344542,320.0333085197075
M(93x93),EPG,720575940638850512,0.056005828144318245,-0.09350946533132884,0.1089984994973869,300.9187489834725
M(93x93),EPG,720575940620419354,0.06215738455811859,-0.16882317150197249,0.1799022059094612,290.21271850458334
M(93x93),EPG,720575940626315207,-0.09933409975779478,0.12181271498189061,0.15718015430056975,129.19606601030674
M(93x93),EPG,720575940627140551,0.024730712679926214,-0.024756910640692215,0.03499303893816979,314.96966852835516
M(93x93),EPG,720575940620020694,0.05705866403810647,-0.09387296213617558,0.10985364883349714,301.29242761382665
M(93x93),EPG,720575940626137895,0.021059845098391372,-0.02067884122874232,0.02951493774568666,315.52299938800604
M(93x93),EPG,720575940620664741,0.8074472321259689,0.5640035617337443,0.9849218498521788,34.934378875207024
M(93x93),EPG,720575940620776662,0.04805594338312952,-0.12555758304372833,0.13443987635454455,290.94386104285
M(93x93),EPG,720575940624096234,-0.27301472041345765,0.45217635622473407,0.5282049741256857,121.1227098492995
M(93x93),EPG,720575940616502066,0.08681772736837098,-0.21034224358500112,0.22755477850790268,292.42814687395537
M(93x93),EPG,720575940619905404,-0.11151107735107751,0.11037342628701416,0.15689809942230978,135.29376559555743
M(93x93),EPG,720575940602917088,-0.09858314257800632,0.09373848147294842,0.13603506499946943,136.44299916901528
M(93x93),EPG,720575940629691753,7.771561172376096e-16,-2.706168622523819e-16,6.354898428807765e-16,350.08203736621545
