sample,m_r_cv,m_gmax,m_V,m_nzero,s_r_cv,s_gmax,s_V,s_nzero,m_lit_r_cv,m_lit_gmax,s_lit_r_cv,s_lit_gmax
0,3.083988351512133,80.33850557448203,0.5726593979196769,2,2.7532266019698577,91.21696263401775,0.6410771716462583,2,3.878290396994814,91.72441619679782,2.8193674294260322,111.51002655866509
1,2.5147430594485094,31.542447522282043,0.5165151575475049,2,2.72564763466429,61.67167735329474,0.6424613607243252,2,3.0730071321489425,91.8491271984818,3.1793375196647222,103.36995195604386
2,2.1783488234263886,58.32846686837615,0.45180688193468765,2,2.6402841055460358,90.78135361009754,0.6440653820252618,2,2.4518859434985925,90.80166754007519,3.0013073009187115,121.02166533935068
3,3.3652017667959533,55.4604361767048,0.6298132476000786,2,2.8366152597949927,75.41636167957095,0.7298424295165833,2,2.973291204197714,100.67382247018384,2.364361041856987,100.80750909946372
4,2.125135973565983,56.434126427079214,0.4714074450424902,2,2.5589854613778624,82.54989944310046,0.5835779609404186,2,2.6319196836626824,91.49720341404195,2.762299312267955,100.19040613189573
5,3.243127671249377,80.53614441559866,0.5908194036715804,2,2.7524743110436765,103.13590897413158,0.7047458097979313,2,4.070925204166372,92.05370662784034,3.271171097903087,163.813458436407
6,3.2433447738735124,90.70261504270113,0.6539618476211039,2,2.8032120159079232,94.9426816133443,0.6882383329162706,2,3.8511090585679795,118.6439186610074,2.8459356511090657,117.4090113765358
7,3.155502074123656,90.47179942554797,0.5974433864561406,2,2.4423050310504406,91.60745807539698,0.5513002571676733,2,3.5693593246259203,90.70853058490847,3.2414160162106094,131.8776589871277
8,2.5824571090455084,89.39907509922594,0.5852353203970583,2,2.43813710482527,91.55295312061249,0.7533963282302112,2,4.067765837675379,92.59692563609269,2.842848636881333,119.65801866097662
9,2.9631841391769975,90.56896164770546,0.598562381125841,2,2.8201703857841474,96.53468243546256,0.7574926853003114,2,3.968813117853009,98.22225883515968,3.2722593939016957,133.6385693232617
10,2.4498321807007652,26.079801181739754,0.4380208801820481,2,2.6258968737095847,60.72459926426072,0.4909787862064928,2,3.3254305995648195,95.38836474730843,2.719370294487595,104.56786589288433
11,2.7579046792568156,90.41795682972996,0.4879839510167702,2,2.720001511347677,91.2309602498077,0.6734286864199394,2,4.014692600500433,142.7748329612284,3.258660070699835,96.20780090375344
12,1.785520099378104,48.05019486810193,0.45549956295630695,2,2.563166366358965,66.43658570168344,0.5167388618784785,2,2.9366728078004165,93.2532768841254,2.931568925042329,91.51707927919152
13,2.357775235565264,56.6187049395755,0.3564904185101231,2,2.5318382956488104,93.66300011001573,0.43838014315214147,2,2.975069812809839,90.19869471091903,2.7263222023498934,101.42171793972743
14,2.76127056249926,52.33746617348211,0.4267480909633601,2,2.6303485785830074,85.71190936890646,0.520311128100446,2,3.6763414447202005,91.9163554569228,3.195562481938659,93.78901886905925
15,1.9789234656634205,60.62881534294115,0.47134644202659315,2,1.9948949866450367,83.22072859112602,0.4777050042644672,2,3.279870155634841,130.0429974916936,2.7012040851183206,105.41011436071071
16,2.942374476648344,90.72959391713884,0.7112520104150187,2,2.764802330017235,108.93652003035534,0.7881509152924553,2,3.8702933808473916,115.32219718641873,3.2764382427476115,159.7544728224595
17,2.61066691322737,90.24814792795793,0.5218358555095156,2,2.6329763350769286,90.66246886304893,0.7239211003990971,2,3.9233765805679233,91.13645901587839,3.5302947189498988,90.27646782312371
18,3.380565180272864,90.76017396604534,0.6184186517948899,2,2.7673737936315486,91.45930608255871,0.6875657258795892,2,3.999894241521736,91.23442828609848,2.842482746178315,116.71227262063876
