seed,p,mul_acc,div_acc,calls
0,0.5,0.012345679012345678,0.5308641975308642,8511
1,0.5,0.09876543209876543,0.5185185185185185,8560
2,0.9090909090909091,0.30864197530864196,0.7901234567901234,3438
3,0.6363636363636364,0.1728395061728395,0.5555555555555556,7972
4,0.5454545454545454,0.037037037037037035,0.5679012345679012,6845
5,0.2727272727272727,0.012345679012345678,0.4567901234567901,9834
6,0.7272727272727273,0.19753086419753085,0.6419753086419753,7395
7,0.36363636363636365,0.06172839506172839,0.49382716049382713,8903
8,0.8636363636363636,0.1728395061728395,0.7901234567901234,3438
9,0.45454545454545453,0.037037037037037035,0.48148148148148145,9344
10,0.5909090909090909,0.06172839506172839,0.5061728395061729,8560
11,0.2727272727272727,0.012345679012345678,0.48148148148148145,9050
12,0.5909090909090909,0.06172839506172839,0.5308641975308642,9002
13,0.5454545454545454,0.06172839506172839,0.5679012345679012,6845
14,0.5454545454545454,0.037037037037037035,0.6296296296296297,5620
15,0.22727272727272727,0.012345679012345678,0.4567901234567901,9834
16,0.3181818181818182,0.037037037037037035,0.4567901234567901,10128
17,0.36363636363636365,0.012345679012345678,0.48148148148148145,9050
18,0.3181818181818182,0.037037037037037035,0.4567901234567901,9834
19,0.5,0.06172839506172839,0.5555555555555556,7678
