N,train_acc,acc_std,conf,time
10,0.5022727272727273,0.18855636165985235,0.9838818539272655,0.18278675079345702
20,0.19642857142857142,0.12500745890145967,0.9805084237740156,0.1923265814781189
40,0.10853658536585367,0.09090759657097781,0.977035523514922,0.2815909147262573
81,0.16554878048780486,0.06423493713414119,0.9573128292473351,0.37494744062423707
