candidate,cells,nodes_reached,edges,synapses,reciprocal,reciprocal_ratio,largest_scc,edges_exc,edges_inh,edges_unknown,exc_frac,inh_frac,unknown_frac,rho_signed,rho_abs,g_crit,cx_cell_set,nt_labeled_cells,nt_coverage_cells,eligible,role
A (CX core: EB/PB/FB/NO),4236,4236,298532,1339370.0,119136,0.39907279621615105,3711,153400,145041,91,0.5138477617139872,0.4858474133426232,0.0003048249433896534,66.56017780712044,142.61377677728845,0.015023998326714545,4259.0,4258,0.999765203099319,1,BIRINCIL
A_genis (duyarlılık),19033,19033,1039675,3871768.0,246918,0.23749537114963812,18916,635022,404562,91,0.6107889484694736,0.38912352417822876,8.7527352297593e-05,83.58873603858534,150.83835250226167,0.01196333438441264,19045.0,19044,0.9999474927802573,0,uygun degil
B (MB: KC/MBON/DAN/APL/DPM),5608,5608,523784,1216234.0,180516,0.3446382478273487,5608,508185,15599,0,0.9702186397446275,0.029781360255372445,0.0,108.75356126207807,164.58922686169845,0.009195101184688248,,5608,1.0,0,uygun degil
