sigma,rule,param,rho_real,rho_shuffled,active_median_real,active_median_shuffled
0.5,count,2,-0.31470663284168393,-0.43743795202091085,52.0,51.0
0.5,topk,20,-0.2908497307820937,-0.33256563899859265,20.0,20.0
1.0,count,2,-0.8032064808347457,-0.833346295174061,111.0,108.0
1.0,topk,20,-0.8881996038340111,-0.7620524708613008,20.0,20.0
1.5,count,2,-0.9053687086602177,-0.9278104751812666,188.0,194.0
1.5,topk,20,-0.9551838477390343,-0.9097816688533455,20.0,20.0
