kind,sigma,rule,param,n,rho_mean,rho_std
coarse_direct,0.5,direct,0,20,-0.9872011074478078,0.00021667922601866497
coarse_direct,1.0,direct,0,20,-0.9869053288029648,0.00016172788004992073
coarse_direct,1.5,direct,0,20,-0.9868481250542308,0.00017652067086943433
coarse_kc,0.5,count,2,20,-0.28928422396582254,0.1769028694287011
coarse_kc,0.5,count,3,20,-0.037495334930863954,0.18600904222001555
coarse_kc,0.5,count,4,20,-0.10619215903102039,0.20727505820799888
coarse_kc,0.5,syn,2,20,-0.43395566847354494,0.12217548823718606
coarse_kc,0.5,syn,3,20,-0.4360617900581227,0.11809034998091067
coarse_kc,0.5,syn,4,20,-0.4348520300141289,0.10397240978925244
coarse_kc,0.5,topk,5,20,-0.21807484731989382,0.19628849915593455
coarse_kc,0.5,topk,10,20,-0.3040264296918461,0.21612301718506227
coarse_kc,0.5,topk,20,20,-0.39386754405531843,0.14784139205154131
coarse_kc,0.5,topk,40,20,-0.478502839271142,0.1276753292079218
coarse_kc,1.0,count,2,20,-0.7795708645249317,0.08685544946534154
coarse_kc,1.0,count,3,20,-0.601897293769889,0.12348745856920795
coarse_kc,1.0,count,4,20,-0.32887614057210623,0.16839305811891556
coarse_kc,1.0,syn,2,20,-0.7641017950168384,0.06806109430407155
coarse_kc,1.0,syn,3,20,-0.7692502614329844,0.06915870354279902
coarse_kc,1.0,syn,4,20,-0.7603844589033025,0.07532107768374124
coarse_kc,1.0,topk,5,20,-0.5843091308880806,0.08999194457625935
coarse_kc,1.0,topk,10,20,-0.7150354489781545,0.07418459287325008
coarse_kc,1.0,topk,20,20,-0.7621848436201205,0.08709838440640098
coarse_kc,1.0,topk,40,20,-0.7708257558636483,0.09395716745311825
coarse_kc,1.5,count,2,20,-0.9178291080948696,0.0333269487869415
coarse_kc,1.5,count,3,20,-0.8925228531633987,0.04153495565774601
coarse_kc,1.5,count,4,20,-0.7420078923047007,0.07939800979790139
coarse_kc,1.5,syn,2,20,-0.8934329695773652,0.03543838774309208
coarse_kc,1.5,syn,3,20,-0.9017737638082902,0.029353830451484705
coarse_kc,1.5,syn,4,20,-0.9108225798263794,0.029024545403984303
coarse_kc,1.5,topk,5,20,-0.7186948411767717,0.053644557660090846
coarse_kc,1.5,topk,10,20,-0.8168849605462997,0.05262421277009194
coarse_kc,1.5,topk,20,20,-0.8672553403769727,0.0743430734133141
coarse_kc,1.5,topk,40,20,-0.9094462577792954,0.038004198601696744
hash,0.0,hash,10,20,0.017841395430665354,0.20568261407664287
