coarse_direct_train,coarse_direct_test1,coarse_direct_test2,coarse_direct_pair3_5,coarse_direct_pair3_6,coarse_direct_pair2_5,coarse_direct_pair7_8,coarse_direct_pair8_9,coarse_direct_pair7_9,coarse_direct_randlabel_test1,coarse_direct_randlabel_test2,coarse_kc_train,coarse_kc_test1,coarse_kc_test2,coarse_kc_pair3_5,coarse_kc_pair3_6,coarse_kc_pair2_5,coarse_kc_pair7_8,coarse_kc_pair8_9,coarse_kc_pair7_9,coarse_kc_randlabel_test1,coarse_kc_randlabel_test2,coarse_kc_shuffled_train,coarse_kc_shuffled_test1,coarse_kc_shuffled_test2,coarse_kc_shuffled_pair3_5,coarse_kc_shuffled_pair3_6,coarse_kc_shuffled_pair2_5,coarse_kc_shuffled_pair7_8,coarse_kc_shuffled_pair8_9,coarse_kc_shuffled_pair7_9,coarse_kc_shuffled_randlabel_test1,coarse_kc_shuffled_randlabel_test2,hash_train,hash_test1,hash_test2,hash_pair3_5,hash_pair3_6,hash_pair2_5,hash_pair7_8,hash_pair8_9,hash_pair7_9,hash_randlabel_test1,hash_randlabel_test2
1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,0.16666666666666666,1.0,1.0,1.0,0.5,0.0,0.0,0.8333333333333334,0.3333333333333333,1.0,1.0,0.16666666666666666,1.0,1.0,1.0,0.5,0.0,0.0,0.6666666666666666,0.5,1.0,0.5,0.6666666666666666,0.5,0.0,1.0,0.0,1.0,1.0,0.5,0.5
1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.5,1.0,1.0,0.16666666666666666,1.0,1.0,1.0,0.5,0.0,0.0,0.6666666666666666,0.5,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.5,1.0,0.3333333333333333,0.3333333333333333,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.16666666666666666
1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.3333333333333333,0.5,1.0,1.0,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.8333333333333334,0.5,0.5,0.5,0.5,1.0,1.0,0.6666666666666666,0.3333333333333333
1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.5,1.0,1.0,0.16666666666666666,1.0,1.0,1.0,0.5,0.0,0.0,0.16666666666666666,0.5,1.0,1.0,0.16666666666666666,1.0,1.0,1.0,0.5,0.0,0.0,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,0.16666666666666666,0.0,0.5,0.5,0.5,0.0,0.0,0.6666666666666666,0.3333333333333333
1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.16666666666666666,1.0,1.0,1.0,0.5,0.0,0.0,0.3333333333333333,0.5,1.0,1.0,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.6666666666666666,0.5,0.5,0.5,0.5,1.0,0.5,0.3333333333333333,0.3333333333333333
1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.5,1.0,1.0,0.16666666666666666,1.0,1.0,1.0,0.0,0.5,0.0,0.3333333333333333,0.5,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.5,1.0,0.6666666666666666,0.16666666666666666,1.0,0.5,0.5,0.0,0.0,0.5,0.6666666666666666,0.16666666666666666
1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8333333333333334,0.5,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.5,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8333333333333334,0.0,1.0,0.6666666666666666,0.5,0.5,1.0,0.5,0.5,0.0,1.0,0.3333333333333333,0.5
1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,0.16666666666666666,1.0,1.0,1.0,0.0,0.5,0.0,1.0,0.5,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,1.0,0.5,0.5,0.5,1.0,0.5,0.6666666666666666,0.5
1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.16666666666666666,1.0,1.0,0.16666666666666666,1.0,1.0,1.0,0.5,0.0,0.0,0.8333333333333334,0.3333333333333333,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,1.0,0.6666666666666666,0.16666666666666666,0.5,0.5,1.0,0.0,0.0,0.5,0.5,0.6666666666666666
1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.5,1.0,1.0,0.16666666666666666,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.5,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,1.0,0.5,0.3333333333333333,0.5,0.5,0.5,0.5,0.5,0.0,0.16666666666666666,0.5
1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,0.16666666666666666,1.0,1.0,1.0,0.5,0.0,0.0,0.8333333333333334,0.3333333333333333,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5,1.0,0.6666666666666666,0.6666666666666666,0.5,1.0,0.5,1.0,1.0,0.0,0.5,0.6666666666666666
1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.5,0.0,0.5,0.3333333333333333,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.0,0.5,0.16666666666666666,0.5,1.0,0.3333333333333333,0.5,0.0,1.0,0.0,0.5,0.5,0.5,0.5,0.6666666666666666
1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,1.0,0.8333333333333334,0.5,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0.5,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.5,0.5,0.0,0.0,0.5,1.0,0.5,0.5,0.5,1.0,0.0,0.5,0.5,0.5,0.3333333333333333,0.5
