arm,scope,rank,re,im,abs
A_gercek,A_gercek,1,275.0887904401809,0.0,275.0887904401809
A_gercek,A_gercek,2,252.62614121509657,0.0,252.62614121509657
A_gercek,A_gercek,3,205.1505514106607,0.0,205.1505514106607
A_gercek,A_gercek,4,150.68927895341102,192.74276915051325,244.65697180196392
A_gercek,A_gercek,5,150.68927895341102,-192.74276915051325,244.65697180196392
A_gercek,A_gercek,6,143.73702542062617,436.5640180326552,459.6177480445965
A_gercek,A_gercek,7,143.73702542062617,-436.5640180326552,459.6177480445965
A_gercek,A_gercek,8,131.54228651969783,522.1032717891351,538.4191671511609
A_gercek,A_gercek,9,131.54228651969783,-522.1032717891351,538.4191671511609
A_gercek,A_gercek,10,88.43957164408488,334.504107056653,345.99791252312207
A_gercek,A_gercek,11,88.43957164408488,-334.504107056653,345.99791252312207
A_gercek,A_gercek,12,82.38235057070216,336.8268308774276,346.75519561282033
A_gercek,A_gercek,13,82.38235057070216,-336.8268308774276,346.75519561282033
A_gercek,A_gercek,14,65.8205797865647,204.29182959284554,214.6334092396423
A_gercek,A_gercek,15,65.8205797865647,-204.29182959284554,214.6334092396423
A_gercek,A_gercek,16,53.333891340477216,275.5709806635637,280.6846439501029
A_gercek,A_gercek,17,53.333891340477216,-275.5709806635637,280.6846439501029
A_gercek,A_gercek,18,49.54045261104416,247.67548453388306,252.5814761299824
A_gercek,A_gercek,19,49.54045261104416,-247.67548453388306,252.5814761299824
A_gercek,A_gercek,20,46.668125144704135,398.63247741915563,401.3549127117487
A_gercek,A_gercek,21,46.668125144704135,-398.63247741915563,401.3549127117487
A_gercek,A_gercek,22,40.63893054953925,236.99523235746182,240.45428429615805
A_gercek,A_gercek,23,40.63893054953925,-236.99523235746182,240.45428429615805
A_gercek,A_gercek,24,-8.46615068075106,274.87285896875727,275.0032078085772
A_gercek,A_gercek,25,-8.46615068075106,-274.87285896875727,275.0032078085772
A_gercek,A_gercek,26,-28.762376529098415,259.89455218345165,261.4812661707116
A_gercek,A_gercek,27,-28.762376529098415,-259.89455218345165,261.4812661707116
A_gercek,A_gercek,28,-33.641737755217655,298.5931274106605,300.48231604550335
A_gercek,A_gercek,29,-33.641737755217655,-298.5931274106605,300.48231604550335
A_gercek,A_gercek,30,-34.605620351313306,222.72313766558557,225.39553014978495
A_gercek,A_gercek,31,-34.605620351313306,-222.72313766558557,225.39553014978495
A_gercek,A_gercek,32,-97.31563704616062,288.8656176704269,304.8174507567067
A_gercek,A_gercek,33,-97.31563704616062,-288.8656176704269,304.8174507567067
A_gercek,A_gercek,34,-99.9176319197071,213.7987767967416,235.99459766745724
A_gercek,A_gercek,35,-99.9176319197071,-213.7987767967416,235.99459766745724
A_gercek,A_gercek,36,-104.94226124218243,273.37748338959705,292.82781052873355
A_gercek,A_gercek,37,-104.94226124218243,-273.37748338959705,292.82781052873355
A_gercek,A_gercek,38,-123.94342892716632,276.87476343703224,303.3506357378143
