arm,seed,task,k,H,acc,val,lam,reachable,chance,sat,activity,active_frac,participation_ratio
A_gercek,2,T1,2.0,0.0,1.0,1.0,1e-06,3.0,0.3333333333333333,,,,
A_gercek,2,T1,2.0,10.0,1.0,1.0,1e-06,3.0,0.3333333333333333,,,,
A_gercek,2,T1,2.0,20.0,1.0,1.0,1e-06,3.0,0.3333333333333333,,,,
A_gercek,2,T1,4.0,0.0,1.0,1.0,1e-06,5.0,0.2,,,,
A_gercek,2,T1,4.0,10.0,1.0,1.0,1e-06,5.0,0.2,,,,
A_gercek,2,T1,4.0,20.0,1.0,1.0,1e-06,5.0,0.2,,,,
A_gercek,2,T1,6.0,0.0,0.775,0.8083333333333333,1e-06,7.0,0.14285714285714285,,,,
A_gercek,2,T1,6.0,10.0,1.0,1.0,1e-06,7.0,0.14285714285714285,,,,
A_gercek,2,T1,6.0,20.0,1.0,1.0,1e-06,7.0,0.14285714285714285,,,,
A_gercek,2,T1,8.0,0.0,0.575,0.575,1e-06,9.0,0.1111111111111111,,,,
A_gercek,2,T1,8.0,10.0,0.7333333333333333,0.6916666666666667,1e-06,9.0,0.1111111111111111,,,,
A_gercek,2,T1,8.0,20.0,0.7,0.75,1e-06,9.0,0.1111111111111111,,,,
A_gercek,2,T1,10.0,0.0,0.23333333333333334,0.30833333333333335,1.0,9.0,0.1111111111111111,,,,
A_gercek,2,diag,10.0,0.0,,,,,,0.24232635610114364,0.424827950972359,0.6846081208687441,3.3604960682313547
A_gercek,2,T1,10.0,10.0,0.24166666666666667,0.26666666666666666,1.0,9.0,0.1111111111111111,,,,
A_gercek,2,T1,10.0,20.0,0.25833333333333336,0.23333333333333334,0.1,9.0,0.1111111111111111,,,,
A_gercek,2,T2,,,1.703050001502934,,1e-05,,,,,,
A_gercek,2,T2_lag,1.0,,0.7679230835994617,,,,,,,,
A_gercek,2,T2_lag,2.0,,0.2611055025931376,,,,,,,,
A_gercek,2,T2_lag,3.0,,0.11157191756669993,,,,,,,,
A_gercek,2,T2_lag,4.0,,0.04321748562711758,,,,,,,,
A_gercek,2,T2_lag,5.0,,0.09498856830316328,,,,,,,,
A_gercek,2,T2_lag,6.0,,0.05771798129486172,,,,,,,,
A_gercek,2,T2_lag,7.0,,0.0536604128361113,,,,,,,,
A_gercek,2,T2_lag,8.0,,0.028077251974957206,,,,,,,,
A_gercek,2,T2_lag,9.0,,0.035803390719386846,,,,,,,,
A_gercek,2,T2_lag,10.0,,0.02905953522219524,,,,,,,,
A_gercek,2,T2_lag,11.0,,0.032639269082490124,,,,,,,,
A_gercek,2,T2_lag,12.0,,0.02276355474811761,,,,,,,,
A_gercek,2,T2_lag,13.0,,0.04070494705868769,,,,,,,,
A_gercek,2,T2_lag,14.0,,0.012672485394667407,,,,,,,,
A_gercek,2,T2_lag,15.0,,0.023164636492328756,,,,,,,,
A_gercek,2,T2_lag,16.0,,0.011347336138931836,,,,,,,,
A_gercek,2,T2_lag,17.0,,0.032038384076245034,,,,,,,,
A_gercek,2,T2_lag,18.0,,0.0019170790390705213,,,,,,,,
A_gercek,2,T2_lag,19.0,,0.005727365041519017,,,,,,,,
A_gercek,2,T2_lag,20.0,,0.00023173622043920432,,,,,,,,
A_gercek,2,T2_lag,21.0,,0.004650758361081033,,,,,,,,
A_gercek,2,T2_lag,22.0,,0.014962672523682236,,,,,,,,
A_gercek,2,T2_lag,23.0,,0.0001245957892227816,,,,,,,,
A_gercek,2,T2_lag,24.0,,1.4041938650425512e-05,,,,,,,,
A_gercek,2,T2_lag,25.0,,0.0019978298212585477,,,,,,,,
A_gercek,2,T2_lag,26.0,,8.735942791711352e-06,,,,,,,,
A_gercek,2,T2_lag,27.0,,0.0044571662643083584,,,,,,,,
A_gercek,2,T2_lag,28.0,,0.00010461892082338646,,,,,,,,
A_gercek,2,T2_lag,29.0,,1.2207399582739755e-07,,,,,,,,
A_gercek,2,T2_lag,30.0,,0.00018487309120469842,,,,,,,,
A_gercek,2,T2_lag,31.0,,4.513115062980807e-05,,,,,,,,
A_gercek,2,T2_lag,32.0,,0.0002623276054704253,,,,,,,,
A_gercek,2,T2_lag,33.0,,0.0007587147200946084,,,,,,,,
A_gercek,2,T2_lag,34.0,,0.00013923312885395355,,,,,,,,
A_gercek,2,T2_lag,35.0,,0.0014037888601644598,,,,,,,,
A_gercek,2,T2_lag,36.0,,0.0009387938376232375,,,,,,,,
A_gercek,2,T2_lag,37.0,,0.004252589499769462,,,,,,,,
A_gercek,2,T2_lag,38.0,,8.772463907239791e-05,,,,,,,,
A_gercek,2,T2_lag,39.0,,0.0020336355052055916,,,,,,,,
A_gercek,2,T2_lag,40.0,,0.000290724799441366,,,,,,,,
