arm,g,amp,tie_rung,grid_edge,val_acc_at_sel,note,active_frac,sat
A_gercek,40.0,1.0,1,True,0.9891666666666667,,0.689565627950897,0.27100251809883535
A_derece,20.0,1.0,3,False,1.0,,0.9763928234183191,0.653150683733781
A_er,20.0,1.0,1,False,0.77,,0.9997639282341831,0.9521670513762109
A_w0,40.0,0.5,4,True,0.32416666666666666,,0.023607176581680833,0.0
