arm,seed,task,k,H,acc,val,lam,reachable,chance,sat,activity,active_frac,participation_ratio
A_w0,8,T1,2.0,0.0,0.7916666666666666,0.7333333333333333,0.0001,3.0,0.3333333333333333,,,,
A_w0,8,T1,2.0,10.0,0.7916666666666666,0.7333333333333333,0.0001,3.0,0.3333333333333333,,,,
A_w0,8,T1,2.0,20.0,0.7916666666666666,0.7333333333333333,0.0001,3.0,0.3333333333333333,,,,
A_w0,8,T1,4.0,0.0,0.325,0.35,1e-05,5.0,0.2,,,,
A_w0,8,T1,4.0,10.0,0.35833333333333334,0.35,1e-06,5.0,0.2,,,,
A_w0,8,T1,4.0,20.0,0.36666666666666664,0.35833333333333334,1e-06,5.0,0.2,,,,
A_w0,8,T1,6.0,0.0,0.2916666666666667,0.375,1e-06,7.0,0.14285714285714285,,,,
A_w0,8,T1,6.0,10.0,0.21666666666666667,0.3416666666666667,0.0001,7.0,0.14285714285714285,,,,
A_w0,8,T1,6.0,20.0,0.2833333333333333,0.35,1e-06,7.0,0.14285714285714285,,,,
A_w0,8,T1,8.0,0.0,0.3,0.35833333333333334,1e-06,9.0,0.1111111111111111,,,,
A_w0,8,T1,8.0,10.0,0.26666666666666666,0.35833333333333334,1e-05,9.0,0.1111111111111111,,,,
A_w0,8,T1,8.0,20.0,0.21666666666666667,0.325,1e-06,9.0,0.1111111111111111,,,,
A_w0,8,T1,10.0,0.0,0.2833333333333333,0.24166666666666667,1e-06,9.0,0.1111111111111111,,,,
A_w0,8,diag,10.0,0.0,,,,,,0.0,0.0028152984084803636,0.023607176581680833,1.0000000000000038
A_w0,8,T1,10.0,10.0,0.23333333333333334,0.225,1e-05,9.0,0.1111111111111111,,,,
A_w0,8,T1,10.0,20.0,0.23333333333333334,0.225,1e-05,9.0,0.1111111111111111,,,,
A_w0,8,T2,,,0.42293768019329187,,1e-06,,,,,,
A_w0,8,T2_lag,1.0,,0.1978977033019501,,,,,,,,
A_w0,8,T2_lag,2.0,,0.0623692720053299,,,,,,,,
A_w0,8,T2_lag,3.0,,0.020011183692732772,,,,,,,,
A_w0,8,T2_lag,4.0,,0.0006451909663878401,,,,,,,,
A_w0,8,T2_lag,5.0,,0.0005279696456144587,,,,,,,,
A_w0,8,T2_lag,6.0,,0.0005775330257947715,,,,,,,,
A_w0,8,T2_lag,7.0,,0.0036067658820129705,,,,,,,,
A_w0,8,T2_lag,8.0,,0.00013683240504859604,,,,,,,,
A_w0,8,T2_lag,9.0,,0.0025286698070001922,,,,,,,,
A_w0,8,T2_lag,10.0,,0.0011347926525173664,,,,,,,,
A_w0,8,T2_lag,11.0,,0.018217460562155282,,,,,,,,
A_w0,8,T2_lag,12.0,,0.002504384388003813,,,,,,,,
A_w0,8,T2_lag,13.0,,0.00575415032509826,,,,,,,,
A_w0,8,T2_lag,14.0,,0.0030862573749891957,,,,,,,,
A_w0,8,T2_lag,15.0,,0.00019474912684077684,,,,,,,,
A_w0,8,T2_lag,16.0,,0.004374228513909889,,,,,,,,
A_w0,8,T2_lag,17.0,,0.017476073137747017,,,,,,,,
A_w0,8,T2_lag,18.0,,0.004190885090133145,,,,,,,,
A_w0,8,T2_lag,19.0,,0.002139085845812715,,,,,,,,
A_w0,8,T2_lag,20.0,,0.002831550171563692,,,,,,,,
A_w0,8,T2_lag,21.0,,0.004079918307279548,,,,,,,,
A_w0,8,T2_lag,22.0,,0.0038470165608027484,,,,,,,,
A_w0,8,T2_lag,23.0,,0.0038456843642765055,,,,,,,,
A_w0,8,T2_lag,24.0,,0.004064818243946279,,,,,,,,
A_w0,8,T2_lag,25.0,,0.002178448483683287,,,,,,,,
A_w0,8,T2_lag,26.0,,0.0014541146594336612,,,,,,,,
A_w0,8,T2_lag,27.0,,0.006567150176808694,,,,,,,,
A_w0,8,T2_lag,28.0,,2.5602397316857335e-05,,,,,,,,
A_w0,8,T2_lag,29.0,,0.004222407642895329,,,,,,,,
A_w0,8,T2_lag,30.0,,0.0007113315866728948,,,,,,,,
A_w0,8,T2_lag,31.0,,0.002745698222816922,,,,,,,,
A_w0,8,T2_lag,32.0,,0.001989303299778905,,,,,,,,
A_w0,8,T2_lag,33.0,,0.004461847763279064,,,,,,,,
A_w0,8,T2_lag,34.0,,0.00040057433914265754,,,,,,,,
A_w0,8,T2_lag,35.0,,0.003340927087209048,,,,,,,,
A_w0,8,T2_lag,36.0,,0.0034870558734953656,,,,,,,,
A_w0,8,T2_lag,37.0,,0.0015268077788534666,,,,,,,,
A_w0,8,T2_lag,38.0,,0.001870596493277909,,,,,,,,
A_w0,8,T2_lag,39.0,,0.01899807812679925,,,,,,,,
A_w0,8,T2_lag,40.0,,0.0029155608648807766,,,,,,,,
