arm,k,H,mean,std,ci95,n,chance
A_derece,2,0,1.0,0.0,0.0,20,0.33333333333333326
A_derece,2,10,1.0,0.0,0.0,20,0.33333333333333326
A_derece,2,20,1.0,0.0,0.0,20,0.33333333333333326
A_derece,4,0,0.9891666666666665,0.02523283389619068,0.011058777043941273,20,0.20000000000000004
A_derece,4,10,1.0,0.0,0.0,20,0.20000000000000004
A_derece,4,20,1.0,0.0,0.0,20,0.20000000000000004
A_derece,6,0,0.8354166666666666,0.07760462660289938,0.03401172720870403,20,0.1428571428571428
A_derece,6,10,0.9991666666666668,0.003726779962499686,0.001633333333333349,20,0.1428571428571428
A_derece,6,20,0.9991666666666668,0.003726779962499686,0.001633333333333349,20,0.1428571428571428
A_derece,8,0,0.6120833333333333,0.04862698153631719,0.021311714306143148,20,0.11111111111111112
A_derece,8,10,0.6795833333333334,0.04503694065311066,0.019738309516599925,20,0.11111111111111112
A_derece,8,20,0.6979166666666667,0.04880704040384395,0.021390628584220476,20,0.11111111111111112
A_derece,10,0,0.24166666666666664,0.03697240950124141,0.016203872903600036,20,0.11111111111111112
A_derece,10,10,0.21041666666666664,0.050860648398890436,0.022290661971128427,20,0.11111111111111112
A_derece,10,20,0.19458333333333327,0.04815871360311063,0.02110648683579784,20,0.11111111111111112
A_er,2,0,1.0,0.0,0.0,20,0.33333333333333326
A_er,2,10,1.0,0.0,0.0,20,0.33333333333333326
A_er,2,20,1.0,0.0,0.0,20,0.33333333333333326
A_er,4,0,0.7745833333333333,0.10200744583533082,0.04470673428738979,20,0.20000000000000004
A_er,4,10,0.9099999999999999,0.11037548884608257,0.04837419083748365,20,0.20000000000000004
A_er,4,20,0.9600000000000002,0.07022311976626788,0.030776639200338886,20,0.20000000000000004
A_er,6,0,0.5908333333333332,0.07684856377568786,0.03368036806483052,20,0.1428571428571428
A_er,6,10,0.7408333333333333,0.15231882152844037,0.0667566668812892,20,0.1428571428571428
A_er,6,20,0.8637500000000001,0.13618858935808473,0.05968728093863844,20,0.1428571428571428
A_er,8,0,0.41208333333333325,0.05655012525774515,0.02478418514563941,20,0.11111111111111112
A_er,8,10,0.5174999999999998,0.08394076859058981,0.03678866387181905,20,0.11111111111111112
A_er,8,20,0.5704166666666668,0.11504115078644254,0.050419007340184625,20,0.11111111111111112
A_er,10,0,0.26625,0.0377041228142624,0.016524560402359514,20,0.11111111111111112
A_er,10,10,0.2587499999999999,0.03204471930112231,0.014044217452732969,20,0.11111111111111112
A_er,10,20,0.24291666666666661,0.02952783898042323,0.012941146017023307,20,0.11111111111111112
A_gercek,2,0,1.0,0.0,0.0,20,0.33333333333333326
A_gercek,2,10,1.0,0.0,0.0,20,0.33333333333333326
A_gercek,2,20,1.0,0.0,0.0,20,0.33333333333333326
A_gercek,4,0,0.9800000000000001,0.035602582204794134,0.015603519620951026,20,0.20000000000000004
A_gercek,4,10,1.0,0.0,0.0,20,0.20000000000000004
A_gercek,4,20,1.0,0.0,0.0,20,0.20000000000000004
A_gercek,6,0,0.7520833333333334,0.06583222295310533,0.028852243824080824,20,0.1428571428571428
A_gercek,6,10,0.9900000000000002,0.019232343615266233,0.008428946227312394,20,0.1428571428571428
A_gercek,6,20,0.9962500000000001,0.013375754883872907,0.005862183045460067,20,0.1428571428571428
A_gercek,8,0,0.5483333333333333,0.03838859479749573,0.016824543475467465,20,0.11111111111111112
A_gercek,8,10,0.7104166666666666,0.039816373105187035,0.017450294908615747,20,0.11111111111111112
A_gercek,8,20,0.71125,0.041734593753737115,0.018290992174752083,20,0.11111111111111112
A_gercek,10,0,0.255,0.05335251847917,0.02338277218568661,20,0.11111111111111112
A_gercek,10,10,0.2270833333333333,0.04408549309868708,0.01932131924049138,20,0.11111111111111112
A_gercek,10,20,0.215,0.04989755587071722,0.02186856806025141,20,0.11111111111111112
A_w0,2,0,0.5745833333333333,0.1107020063527591,0.04851729344427505,20,0.33333333333333326
A_w0,2,10,0.5583333333333333,0.11719803802521211,0.05136430485137998,20,0.33333333333333326
A_w0,2,20,0.5741666666666666,0.11476839123090903,0.05029946519427825,20,0.33333333333333326
A_w0,4,0,0.36708333333333326,0.052250171381123006,0.0228996472686642,20,0.20000000000000004
A_w0,4,10,0.38375,0.03721627560074548,0.016310751934076207,20,0.20000000000000004
A_w0,4,20,0.37375,0.04234319197265066,0.018557722104493374,20,0.20000000000000004
A_w0,6,0,0.30625,0.039540027095211476,0.017329180929746973,20,0.1428571428571428
A_w0,6,10,0.29375,0.036761738786359,0.016111542391888313,20,0.1428571428571428
A_w0,6,20,0.3079166666666666,0.04104581308647479,0.017989120737609183,20,0.1428571428571428
A_w0,8,0,0.26208333333333333,0.03519733426243082,0.015425911879365234,20,0.11111111111111112
A_w0,8,10,0.2666666666666667,0.031761170158301176,0.01391994656170424,20,0.11111111111111112
A_w0,8,20,0.2658333333333333,0.048206124189326044,0.021127265441349474,20,0.11111111111111112
A_w0,10,0,0.2345833333333333,0.04692869731389258,0.020567408428717612,20,0.11111111111111112
A_w0,10,10,0.22583333333333333,0.04256917315292814,0.01865676272351765,20,0.11111111111111112
A_w0,10,20,0.23249999999999998,0.03745367509040707,0.016414796847830794,20,0.11111111111111112
