arm,seed,task,k,H,acc,val,lam,reachable,chance,sat,activity,active_frac,participation_ratio
A_er,4,T1,2,0,1.0,1.0,1e-06,3.0,0.3333333333333333,,,,
A_er,4,T1,2,10,1.0,1.0,1e-06,3.0,0.3333333333333333,,,,
A_er,4,T1,2,20,1.0,1.0,1e-06,3.0,0.3333333333333333,,,,
A_er,4,T1,4,0,0.8083333333333333,0.8833333333333333,1e-06,5.0,0.2,,,,
A_er,4,T1,4,10,1.0,1.0,1e-06,5.0,0.2,,,,
A_er,4,T1,4,20,1.0,1.0,1e-06,5.0,0.2,,,,
A_er,4,T1,6,0,0.6083333333333333,0.7333333333333333,1e-05,7.0,0.14285714285714285,,,,
A_er,4,T1,6,10,0.8916666666666667,0.95,1e-06,7.0,0.14285714285714285,,,,
A_er,4,T1,6,20,0.975,0.9916666666666667,1e-06,7.0,0.14285714285714285,,,,
A_er,4,T1,8,0,0.4166666666666667,0.35833333333333334,0.01,9.0,0.1111111111111111,,,,
A_er,4,T1,8,10,0.625,0.55,1e-06,9.0,0.1111111111111111,,,,
A_er,4,T1,8,20,0.7666666666666667,0.675,1e-06,9.0,0.1111111111111111,,,,
A_er,4,T1,10,0,0.25,0.3333333333333333,0.0001,9.0,0.1111111111111111,,,,
A_er,4,diag,10,0,,,,,,0.9518251844857133,0.9774679799245802,0.9997639282341831,1.302989153052531
A_er,4,T1,10,10,0.3,0.2833333333333333,1.0,9.0,0.1111111111111111,,,,
A_er,4,T1,10,20,0.2833333333333333,0.3,1.0,9.0,0.1111111111111111,,,,
