arm,seed,task,k,H,acc,val,lam,reachable,chance,sat,activity,active_frac,participation_ratio
A_derece,14,T1,2,0,1.0,1.0,1e-06,3.0,0.3333333333333333,,,,
A_derece,14,T1,2,10,1.0,1.0,1e-06,3.0,0.3333333333333333,,,,
A_derece,14,T1,2,20,1.0,1.0,1e-06,3.0,0.3333333333333333,,,,
A_derece,14,T1,4,0,1.0,1.0,1e-06,5.0,0.2,,,,
A_derece,14,T1,4,10,1.0,1.0,1e-06,5.0,0.2,,,,
A_derece,14,T1,4,20,1.0,1.0,1e-06,5.0,0.2,,,,
A_derece,14,T1,6,0,0.7333333333333333,0.8083333333333333,1e-06,7.0,0.14285714285714285,,,,
A_derece,14,T1,6,10,1.0,1.0,1e-06,7.0,0.14285714285714285,,,,
A_derece,14,T1,6,20,1.0,1.0,1e-06,7.0,0.14285714285714285,,,,
A_derece,14,T1,8,0,0.5916666666666667,0.5,1e-06,9.0,0.1111111111111111,,,,
A_derece,14,T1,8,10,0.7333333333333333,0.7,0.0001,9.0,0.1111111111111111,,,,
A_derece,14,T1,8,20,0.7416666666666667,0.6666666666666666,0.001,9.0,0.1111111111111111,,,,
A_derece,14,T1,10,0,0.23333333333333334,0.2916666666666667,1.0,9.0,0.1111111111111111,,,,
A_derece,14,diag,10,0,,,,,,0.6437458468856013,0.793225478272673,0.9773371104815864,10.072381351265797
A_derece,14,T1,10,10,0.21666666666666667,0.2,1.0,9.0,0.1111111111111111,,,,
A_derece,14,T1,10,20,0.23333333333333334,0.275,1.0,9.0,0.1111111111111111,,,,
