scope,n,nnz,rho,max_real,slow_modes,converged,note,arm,n_isolated,n_components,biggest_scc
A_gercek,4236,298441,634.9895023532938,275.0887904401809,1,True,,A_gercek,0,239,3710
A_gercek_SCC,3710,296737,634.9895023532941,275.08879044018136,1,True,,A_gercek,0,239,3710
A_derece,4236,298441,114.01111805537481,110.41991509647372,50,True,,A_derece,0,162,4075
A_derece_SCC,4075,297868,114.01111805537506,110.41991509647389,50,True,,A_derece,0,162,4075
A_er,4236,310545,125.84812771211803,125.84812771211803,1,True,,A_er,0,2,4235
A_er_SCC,4235,310469,125.84812771211821,125.84812771211821,1,True,,A_er,0,2,4235
A_w0,4236,0,0.0,0.0,0,False,bos matris (W=0),A_w0,4236,4236,1
A_w0_SCC,1,0,0.0,0.0,0,False,bos matris (W=0),A_w0,4236,4236,1
