arm,seed,task,k,H,acc,val,lam,reachable,chance,sat,activity,active_frac,participation_ratio
A_er,6,T1,2,0,1.0,1.0,1e-06,3.0,0.3333333333333333,,,,
A_er,6,T1,2,10,1.0,1.0,1e-06,3.0,0.3333333333333333,,,,
A_er,6,T1,2,20,1.0,1.0,1e-06,3.0,0.3333333333333333,,,,
A_er,6,T1,4,0,0.7833333333333333,0.8083333333333333,1e-06,5.0,0.2,,,,
A_er,6,T1,4,10,0.9666666666666667,0.95,1e-06,5.0,0.2,,,,
A_er,6,T1,4,20,1.0,1.0,1e-06,5.0,0.2,,,,
A_er,6,T1,6,0,0.6166666666666667,0.6166666666666667,1e-05,7.0,0.14285714285714285,,,,
A_er,6,T1,6,10,0.7833333333333333,0.775,1e-06,7.0,0.14285714285714285,,,,
A_er,6,T1,6,20,0.9083333333333333,0.85,1e-06,7.0,0.14285714285714285,,,,
A_er,6,T1,8,0,0.36666666666666664,0.475,1e-06,9.0,0.1111111111111111,,,,
A_er,6,T1,8,10,0.49166666666666664,0.5583333333333333,1e-06,9.0,0.1111111111111111,,,,
A_er,6,T1,8,20,0.5416666666666666,0.6083333333333333,1e-06,9.0,0.1111111111111111,,,,
A_er,6,T1,10,0,0.25833333333333336,0.2833333333333333,0.1,9.0,0.1111111111111111,,,,
A_er,6,diag,10,0,,,,,,0.9529889308572028,0.9775722809753518,0.9997639282341831,2.494406794793945
A_er,6,T1,10,10,0.25,0.3,0.01,9.0,0.1111111111111111,,,,
A_er,6,T1,10,20,0.23333333333333334,0.2916666666666667,0.01,9.0,0.1111111111111111,,,,
