test,diff,p_raw,n,p_holm
"A_gercek vs A_w0 (k10,H10)",0.0012500000000000109,0.9205329017399458,20,0.9205329017399458
"A_gercek vs A_derece (k10,H10)",0.01666666666666667,0.16914345505473793,20,0.33828691010947587
"A_gercek vs A_er (k10,H10)",-0.03166666666666667,0.014547954089448227,20,0.04364386226834468
