sigma,pad,lo,hi,full,frac,ci_lo,ci_hi,acc,sec
1.0,0,0.0,81.0,12,0.4,0.24590394326083398,0.5767994750172617,0.9930894308943087,434.8249659538269
1.0,1,-3.0,84.0,25,0.8333333333333334,0.6643529481431982,0.9266356575964831,0.9987804878048779,471.009801864624
1.5,0,0.0,81.0,18,0.6,0.42320052498273836,0.754096056739166,0.9967479674796746,0.0
1.5,1,-3.0,84.0,25,0.8333333333333334,0.6643529481431982,0.9266356575964831,0.9979674796747967,364.23423624038696
2.0,0,0.0,81.0,24,0.8,0.6269395261897257,0.9049502189759876,0.9983739837398374,342.94066762924194
2.0,1,-3.0,84.0,28,0.9333333333333333,0.7867618227892791,0.9815233646723066,0.9995934959349594,362.1594874858856
