seed,n,op,wrong,sim
0,47,-,0,0.8624999999999998
0,48,+,0,0.8499999999999999
0,48,-,0,0.8499999999999999
0,49,+,0,0.8874999999999998
0,49,-,0,0.8874999999999998
0,50,+,0,0.8874999999999998
0,50,-,0,0.8874999999999998
0,51,+,0,0.8249999999999998
0,51,-,0,0.8249999999999998
0,52,+,0,0.8499999999999999
0,52,-,0,0.8374999999999998
0,53,+,0,0.9249999999999998
0,53,-,0,0.9374999999999999
0,54,+,0,0.9249999999999998
0,54,-,0,0.9374999999999999
0,55,+,0,0.9124999999999999
0,55,-,0,0.9124999999999999
0,56,+,0,0.8374999999999998
0,56,-,0,0.8499999999999999
0,57,+,0,0.8624999999999998
0,57,-,0,0.8624999999999998
0,58,+,0,0.9249999999999998
0,58,-,0,0.9124999999999999
0,59,+,0,0.9749999999999999
0,59,-,0,0.9624999999999998
0,60,+,0,0.9749999999999999
0,60,-,0,0.9624999999999998
0,61,+,0,0.8499999999999999
0,61,-,0,0.8624999999999998
0,62,+,0,0.8499999999999999
0,62,-,0,0.8499999999999999
0,63,+,0,0.8749999999999999
0,63,-,0,0.8624999999999998
0,64,+,0,0.9124999999999999
0,64,-,0,0.9499999999999998
0,65,+,0,0.9124999999999999
0,65,-,0,0.9499999999999998
0,66,+,0,0.9124999999999999
0,66,-,0,0.9124999999999999
0,67,+,0,0.9124999999999999
0,67,-,0,0.9124999999999999
0,68,+,0,0.8499999999999999
0,68,-,0,0.8499999999999999
0,69,+,0,0.9124999999999999
0,69,-,0,0.9374999999999999
0,70,+,0,0.9374999999999999
0,70,-,0,0.9374999999999999
0,71,+,0,0.9374999999999999
0,71,-,0,0.9374999999999999
0,72,+,0,0.9374999999999999
0,72,-,0,0.9374999999999999
0,73,+,0,0.8874999999999998
0,73,-,0,0.8874999999999998
0,74,+,0,0.8499999999999999
0,74,-,0,0.8374999999999998
0,75,+,0,0.8374999999999998
0,75,-,0,0.8374999999999998
0,76,+,0,0.8870071077479605
0,76,-,0,0.9249999999999998
0,77,+,0,0.9535528383634794
0,77,-,0,0.9249999999999998
0,78,+,0,0.9535528383634794
0,78,-,0,0.8989936902850951
0,79,+,0,0.9499999999999998
0,79,-,0,0.9441175904999112
0,80,+,0,0.9874999999999998
0,80,-,0,0.9813853901249077
0,81,+,0,0.9874999999999998
0,81,-,0,0.9813853901249077
1,0,+,0,0.9874999999999998
1,0,-,0,0.9644856443408241
1,1,+,0,0.9874999999999998
1,1,-,0,0.9644856443408241
1,2,+,0,0.9701425001453319
1,2,-,0,0.9249999999999998
1,3,+,0,0.8731282501307986
1,3,-,0,0.9249999999999998
1,4,+,0,0.8695819912499182
1,4,-,0,0.9383431168171099
1,5,+,0,0.9749999999999999
1,5,-,0,0.9880235200593538
1,6,+,0,0.9749999999999999
1,6,-,0,0.9880235200593538
1,7,+,0,0.8624999999999998
1,7,-,0,0.8661113147418232
1,8,+,0,0.8624999999999998
1,8,-,0,0.8374999999999998
1,9,+,0,0.9124999999999999
1,9,-,0,0.8642633970683907
1,10,+,0,0.9124999999999999
1,10,-,0,0.8642633970683907
1,11,+,0,0.8695819912499182
1,11,-,0,0.8999999999999998
1,12,+,0,0.8944271909999159
1,12,-,0,0.9326733179802502
1,13,+,0,0.8944271909999159
1,13,-,0,0.9326733179802502
1,14,+,0,0.8749999999999999
1,14,-,0,0.895857265954714
1,15,+,0,0.8374999999999998
1,15,-,0,0.7826237921249264
1,16,+,0,0.8835852486128687
1,16,-,0,0.9136498769008702
1,17,+,0,0.8835852486128687
1,17,-,0,0.9136498769008702
1,18,+,0,0.9316949906249123
1,18,-,0,0.9013032569427504
1,19,+,0,0.9316949906249123
1,19,-,0,0.9819805060619657
1,20,+,0,0.9624999999999998
1,20,-,0,0.9819805060619657
1,21,+,0,0.9624999999999998
1,21,-,0,0.9689627902499088
1,22,+,0,0.8999999999999998
1,22,-,0,0.8641975308641975
1,23,+,0,0.8374999999999998
1,23,-,0,0.8641975308641975
1,24,+,0,0.8124999999999999
