arm,full,n,frac,ci_lo,ci_hi,acc,sec
real,18,30,0.6,0.42320052498273836,0.754096056739166,0.9967479674796746,0.0009150505065917969
shuffled,22,30,0.7333333333333333,0.5555169795568831,0.8581750444608938,0.9979674796747967,467.52269077301025
overlap,15,30,0.5,0.3315385122717376,0.6684614877282624,0.9961382113821136,465.92933678627014
