epochs,lr,topk,full,frac,acc,sec
10000,0.01,40,13,0.43333333333333335,0.9953252032520324,179.491557598114
10000,0.01,80,15,0.5,0.9957317073170731,160.51875376701355
10000,0.05,40,15,0.5,0.9961382113821138,136.86981439590454
10000,0.05,80,17,0.5666666666666667,0.9967479674796746,164.74539923667908
25000,0.01,40,15,0.5,0.9961382113821138,497.164742231369
25000,0.01,80,17,0.5666666666666667,0.9967479674796746,668.5582718849182
25000,0.05,40,15,0.5,0.9961382113821138,338.5600428581238
25000,0.05,80,18,0.6,0.9967479674796746,364.3903532028198
