arm,seed,train,combo,combo_mag,newn,newn_mag,shared_frac
hash,0,1.0,0.0,0.0,0.0,0.0,
hash,1,1.0,0.0,0.0,0.0,0.0,
hash,2,1.0,0.3333333333333333,0.3333333333333333,0.0,0.16666666666666666,
hash,3,1.0,0.0,0.3333333333333333,0.0,0.0,
hash,4,1.0,0.3333333333333333,1.0,0.0,0.0,
hash,5,1.0,0.0,0.3333333333333333,0.16666666666666666,0.16666666666666666,
hash,6,1.0,0.0,0.3333333333333333,0.0,0.0,
hash,7,1.0,0.3333333333333333,0.6666666666666666,0.0,0.0,
hash,8,1.0,0.0,0.0,0.0,0.0,
hash,9,1.0,0.0,0.0,0.0,0.0,
hash,10,1.0,0.3333333333333333,0.3333333333333333,0.0,0.0,
hash,11,1.0,0.0,0.0,0.0,0.0,
hash,12,1.0,0.0,0.0,0.0,0.0,
hash,13,1.0,0.0,0.0,0.0,0.0,
hash,14,1.0,0.0,0.0,0.0,0.0,
hash,15,1.0,0.0,0.3333333333333333,0.0,0.0,
hash,16,1.0,0.0,0.0,0.0,0.0,
hash,17,1.0,0.0,0.0,0.0,0.0,
hash,18,1.0,0.0,0.0,0.0,0.0,
hash,19,1.0,0.0,0.0,0.0,0.0,
coarse_direct,0,0.7777777777777778,0.0,0.6666666666666666,0.16666666666666666,0.3333333333333333,
coarse_direct,1,0.7777777777777778,0.0,0.6666666666666666,0.16666666666666666,0.3333333333333333,
coarse_direct,2,0.7777777777777778,0.0,0.6666666666666666,0.16666666666666666,0.3333333333333333,
coarse_direct,3,0.7777777777777778,0.0,0.6666666666666666,0.16666666666666666,0.3333333333333333,
coarse_direct,4,0.7777777777777778,0.0,0.6666666666666666,0.16666666666666666,0.3333333333333333,
coarse_direct,5,0.7777777777777778,0.0,0.6666666666666666,0.16666666666666666,0.3333333333333333,
coarse_direct,6,0.7777777777777778,0.0,0.6666666666666666,0.16666666666666666,0.3333333333333333,
coarse_direct,7,0.7777777777777778,0.0,0.6666666666666666,0.16666666666666666,0.3333333333333333,
coarse_direct,8,0.7777777777777778,0.0,0.6666666666666666,0.16666666666666666,0.3333333333333333,
coarse_direct,9,0.7777777777777778,0.0,0.6666666666666666,0.16666666666666666,0.3333333333333333,
coarse_direct,10,0.7777777777777778,0.0,0.6666666666666666,0.16666666666666666,0.3333333333333333,
coarse_direct,11,0.7777777777777778,0.0,0.6666666666666666,0.16666666666666666,0.3333333333333333,
coarse_direct,12,0.7777777777777778,0.0,0.6666666666666666,0.16666666666666666,0.3333333333333333,
coarse_direct,13,0.7777777777777778,0.0,0.6666666666666666,0.16666666666666666,0.3333333333333333,
coarse_direct,14,0.7777777777777778,0.0,0.6666666666666666,0.16666666666666666,0.3333333333333333,
coarse_direct,15,0.7777777777777778,0.0,0.6666666666666666,0.16666666666666666,0.3333333333333333,
coarse_direct,16,0.7777777777777778,0.0,0.6666666666666666,0.16666666666666666,0.3333333333333333,
coarse_direct,17,0.7777777777777778,0.0,0.6666666666666666,0.16666666666666666,0.3333333333333333,
coarse_direct,18,0.7777777777777778,0.0,0.6666666666666666,0.16666666666666666,0.3333333333333333,
coarse_direct,19,0.7777777777777778,0.0,0.6666666666666666,0.16666666666666666,0.3333333333333333,
coarse_kc,0,1.0,0.0,1.0,0.16666666666666666,0.3333333333333333,0.3194444444444444
coarse_kc,1,1.0,0.0,1.0,0.16666666666666666,0.3333333333333333,0.3125
coarse_kc,2,1.0,0.0,1.0,0.16666666666666666,0.3333333333333333,0.35416666666666674
coarse_kc,3,1.0,0.0,1.0,0.16666666666666666,0.3333333333333333,0.33749999999999997
coarse_kc,4,1.0,0.0,1.0,0.16666666666666666,0.3333333333333333,0.3277777777777777
