root_id,subtype,delta_deg,pen_angle_deg
720575940624879678,PEN_a(PEN1),72.46853681354938,8.112667802205639
720575940610249426,PEN_a(PEN1),-88.96047645381483,181.0331345330713
720575940642855328,PEN_a(PEN1),99.54557543957337,287.84365180609507
720575940616459333,PEN_b(PEN2),-86.58675133714816,152.55879109034848
720575940626469909,PEN_a(PEN1),43.600728576609264,8.814396129506559
720575940633538724,PEN_a(PEN1),-45.81406953078456,225.92932816759654
720575940643558692,PEN_b(PEN2),69.9364462370236,15.26315873539876
720575940625021796,PEN_b(PEN2),37.28443627589572,33.05769365997798
720575940638847104,PEN_a(PEN1),-29.745390507310045,111.22274176171767
720575940630666404,PEN_b(PEN2),-82.80558915314631,177.96216458139097
720575940622913260,PEN_a(PEN1),51.078622900940175,40.66743412971883
720575940622772137,PEN_a(PEN1),92.18216276088162,320.56270024536195
720575940637644659,PEN_a(PEN1),-99.52483418587204,147.45688867991666
720575940626194428,PEN_a(PEN1),61.809157690186346,43.5205360312401
720575940625407107,PEN_a(PEN1),95.4468263752288,337.6809195095626
720575940610502851,PEN_a(PEN1),-88.88008216142413,134.84304377367778
720575940625415813,PEN_b(PEN2),-50.43038225793217,138.18914907144287
720575940608918830,PEN_b(PEN2),76.43515926307451,283.2010712549917
720575940622265894,PEN_b(PEN2),68.20730300558793,288.0874048646384
720575940626306321,PEN_b(PEN2),-39.13442936061352,119.24558799754575
720575940619476126,PEN_a(PEN1),-71.34598810149306,153.48198777450622
720575940631372369,PEN_b(PEN2),102.54342189270537,348.21714085421087
720575940612920466,PEN_b(PEN2),-74.29504846293916,170.44239849521054
720575940621074835,PEN_a(PEN1),95.20816927604349,341.33767073934484
720575940615177099,PEN_b(PEN2),54.50645901453843,29.373534449984245
720575940638055869,PEN_b(PEN2),125.51317156333488,332.79283752446736
720575940606123954,PEN_b(PEN2),-44.51508004397589,231.89673146809304
720575940632736703,PEN_a(PEN1),-79.05948746121351,157.23070532673924
720575940624594726,PEN_a(PEN1),-53.642341648155,124.32042155458076
720575940612763158,PEN_b(PEN2),-115.91575474333987,132.62960971444656
720575940623388237,PEN_b(PEN2),-50.714683197866904,222.98161045746548
720575940626407820,PEN_b(PEN2),-120.55316597287586,211.95456086588595
720575940628866809,PEN_a(PEN1),95.22480310449319,63.51998608805358
720575940624453680,PEN_b(PEN2),97.26059484467106,65.12975042970999
720575940658472065,PEN_b(PEN2),-118.56193737733506,171.95646444573407
720575940636242778,PEN_b(PEN2),72.29275657839362,314.06213294090014
720575940605639858,PEN_a(PEN1),97.16185998219942,346.506953620851
720575940627653114,PEN_b(PEN2),-103.42747386758406,219.75734211006815
720575940603823462,PEN_a(PEN1),-117.13672394898117,220.31242992517232
720575940617828731,PEN_b(PEN2),65.03268794484222,333.95971651705145
720575940628557178,PEN_a(PEN1),-105.58638723223515,133.14375180654844
720575940638832512,PEN_b(PEN2),108.18360883893811,330.30416155921904
