r_cv,r_mean,r_std,g_max_deg,R,kuiper_V,sample
0.48083016462004946,12724.01811799723,6118.0917263051,33.337723584886696,0.005899694099516598,0.15297110569987676,0
0.48003048228874645,12727.926944181288,6109.7929095512745,32.78040714699622,0.11789186051928972,0.1771074836772769,1
0.42696699318132586,12980.178593186789,5542.107824889576,36.113039171279055,0.06612327829436741,0.14388012727776994,2
0.4689839264658245,12781.618943138157,5994.373838542895,31.685939722548984,0.0760611545775953,0.12018160302753603,3
0.6164222953212524,12028.926573153954,7414.898528474368,40.225785015133766,0.07094941513044778,0.13688744310513853,4
0.5426219695140696,12414.152782049292,6736.1920324441535,24.465317108943246,0.05099240530926165,0.11737244191745205,5
0.5483644165991773,12384.673694579305,6791.314365299159,25.738109571114297,0.05996641730020138,0.1405598993579414,6
0.5676940431271239,12284.747675679588,6973.978076803083,41.68180045706989,0.03767739202647237,0.14526377867944396,7
0.5053643091898612,12602.74675299894,6368.978406724075,26.351272592774958,0.031650431523564185,0.1502097944844032,8
0.5655115102422563,12296.081185246576,6953.575441130184,26.111158578329547,0.049450561561792734,0.13047334910951525,9
0.4209085219015233,13007.99666689435,5475.176649962443,24.895122966036872,0.06976648931444836,0.13902386420046692,10
0.5519583206294293,12366.174115043545,6825.612697150554,26.068874138580107,0.042631593404622185,0.11014465611519814,11
0.4553568081547973,12847.039406318921,5849.986858300286,32.89288845615669,0.076689789712202,0.1226343729883892,12
0.550403387888948,12374.182760297053,6810.792113624513,26.654542978442667,0.09083027529195153,0.13917742475978123,13
0.44416632482475177,12900.048132589536,5729.766969114697,21.546592965826743,0.016805033180076236,0.10630791459958472,14
0.5044517280834078,12607.30229778974,6359.7754305899525,34.39296081801994,0.09165258686502044,0.14634659737200884,15
0.5616943554268158,12315.873030601095,6917.756363441986,33.00233627005536,0.030455392447605544,0.15651764613398167,16
0.4639495882069818,12805.895222951616,5941.289815310158,30.009710102549928,0.03605911625796109,0.1483909751097005,17
0.546086977868347,12396.376976721798,6769.500039734764,25.381120618635492,0.05410282179645439,0.12655038048311665,18
0.5127021904742244,12565.998625147957,6442.615020609449,32.740356717089014,0.09149233875120977,0.14699958302675498,19
0.48939843169023617,12681.957287313804,6206.5300071739375,39.783849235920364,0.08871307405939281,0.18422695400682643,20
