cell_class,n_pre,n_edges,n_syn
Kenyon_Cell,5177,326685,379338
ALPN,319,28144,329394
MBIN,4,31297,107934
DAN,328,49616,60657
MBON,94,11262,13206
LHCENT,16,2365,4452
bilateral,28,106,211
LHLN,7,23,66
CX,30,56,63
AN,5,5,5
TuBu,3,5,5
pars_lateralis,1,2,2
ME>LO,2,2,2
ME,2,2,2
LO,1,1,1
ME.LO,1,1,1
mAL,1,1,1
ocellar,1,1,1
