model,peak,f1,s1,f2,s2,f3,s3,f4,s4,f5,s5,f6,s6,f7,s7,f8,s8,f9,s9
coarse_direct,7,-3.179446075759223,0.005239925070620759,-2.7029237738902476,0.0048968885335455015,-1.8950726912049134,0.0034155151761113417,-0.9916447181228621,0.0029263847425600466,0.0012964619875497224,0.0036609731730551744,0.8882161289269881,0.0027314376538768357,1.1076164022739694,0.01789007166171793,0.38816676302721437,0.032676704511005676,-0.8352080326674948,0.034780192518067604
coarse_kc,6,-0.9651649548612872,0.3499685677715358,-0.892949887800443,0.2699568825320196,-0.7831176238772534,0.2355467630183553,-0.9929826994818022,0.010402433553304469,0.05325896205314411,0.23405833530060816,0.9938826641183549,0.008361801990960227,0.5986670518259399,0.2373040844616627,0.17842128299917906,0.3925505286132577,-0.18931238187016589,0.4716381918313237
coarse_kc_shuffled,6,-1.0890336087428358,0.35413856853755404,-0.9683245282734619,0.2632703007864714,-0.5942692096979565,0.24576337309161753,-0.9830111975103952,0.01965752628205915,-0.004740139537649826,0.23810571558801888,0.977640020811996,0.042693683230365674,0.590799156971004,0.20808182271134104,0.21610412234421542,0.3763944237594884,-0.18008069347959021,0.36082278326583433
