sigma,topk,full_frac,acc
1.0,40,0.0,0.9408536585365853
1.0,60,0.1,0.9698170731707318
1.0,80,0.0,0.9734756097560975
1.0,120,0.0,0.9533536585365852
1.5,40,0.0,0.939939024390244
1.5,60,0.05,0.9722560975609756
1.5,80,0.05,0.9746951219512197
1.5,120,0.0,0.960060975609756
