arm,full_frac,acc,sec
ref,0.5666666666666667,0.9918699186991871,5.089563608169556
ep4x,0.9666666666666667,0.9995934959349594,20.179733276367188
ep10x,1.0,1.0,49.981151819229126
pad,0.7,0.9955284552845528,5.1027021408081055
lr0.005,0.2,0.9658536585365854,5.004153251647949
lr0.02,0.9,0.9983739837398374,5.068028450012207
lr0.05,0.9666666666666667,0.9995934959349594,5.037471771240234
balanced,0.5666666666666667,0.9918699186991871,5.073269605636597
