subset,test,diff,p_raw,n,p_holm
S1_far,A_gercek vs A_w0,0.0024999999999999953,0.16254999902972736,20,0.3250999980594547
S1_far,A_gercek vs A_derece,0.0024999999999999953,0.16254999902972736,20,0.3250999980594547
S1_far,A_gercek vs A_er,-0.062499999999999986,0.10462596548791413,20,0.31387789646374237
S2,A_gercek vs A_w0,0.1283333333333333,0.0008567185818201565,20,0.005140311490920939
S2,A_gercek vs A_derece,0.12291666666666663,0.0012083262225808114,20,0.006041631112904057
S2,A_gercek vs A_er,-0.10208333333333333,0.07279904935644414,20,0.29119619742577657
