arm,seed,split,H,train_H,target_s,n,acc_exact,acc_within2,acc_nominal,pred_mean,pred_slope,stuck,pca_res,sat,active,lam,lam_nom,val_mse,val_acc_nom
A_derece,18,S1,0,0,ALL,240,0.3375,0.9208333333333333,0.0,0.08356945922679415,0.7186084914436442,0.09166666666666666,0.2800628671578171,0.6570024787535411,0.974268177525968,0.0001,0.0001,1.139175106346097,0.6333333333333333
A_derece,18,S1,0,0,-6,60,0.2833333333333333,0.7833333333333333,0.0,-4.221495966065474,,0.06666666666666667,0.3531670644366306,0.6570024787535411,0.974268177525968,0.0001,0.0001,1.139175106346097,0.6333333333333333
A_derece,18,S1,0,0,-4,60,0.36666666666666664,0.9666666666666667,0.0,-2.81784342255772,,0.2,0.29582263537723363,0.6570024787535411,0.974268177525968,0.0001,0.0001,1.139175106346097,0.6333333333333333
A_derece,18,S1,0,0,4,60,0.48333333333333334,0.9666666666666667,0.0,3.053384864833447,,0.08333333333333333,0.2249344821765322,0.6570024787535411,0.974268177525968,0.0001,0.0001,1.139175106346097,0.6333333333333333
A_derece,18,S1,0,0,6,60,0.21666666666666667,0.9666666666666667,0.0,4.320232360696923,,0.016666666666666666,0.246327286640872,0.6570024787535411,0.974268177525968,0.0001,0.0001,1.139175106346097,0.6333333333333333
A_derece,18,S1,10,10,ALL,240,0.0,0.24583333333333332,0.0,0.16119446342986468,0.20913539672551346,0.9541666666666667,0.5637389323561457,0.6456759521561222,0.9759206798866855,0.1,0.1,2.036219206504471,0.5066666666666667
A_derece,18,S1,10,10,-6,60,0.0,0.0,0.0,-0.9471437508700187,,0.9666666666666667,0.6754618287959864,0.6456759521561222,0.9759206798866855,0.1,0.1,2.036219206504471,0.5066666666666667
A_derece,18,S1,10,10,-4,60,0.0,0.4,0.0,-0.8522003592890395,,1.0,0.5985956406347382,0.6456759521561222,0.9759206798866855,0.1,0.1,2.036219206504471,0.5066666666666667
A_derece,18,S1,10,10,4,60,0.0,0.5833333333333334,0.0,1.0031572330969831,,0.9666666666666667,0.47284775665283457,0.6456759521561222,0.9759206798866855,0.1,0.1,2.036219206504471,0.5066666666666667
A_derece,18,S1,10,10,6,60,0.0,0.0,0.0,1.4409647307815339,,0.8833333333333333,0.5080505033410236,0.6456759521561222,0.9759206798866855,0.1,0.1,2.036219206504471,0.5066666666666667
A_derece,18,S1,20,20,ALL,240,0.0,0.05,0.0,0.07789523436520546,0.10922341418232805,1.0,0.7253635152730751,0.6319060827824993,0.9775731822474032,1.0,1e-06,2.290550027047147,0.4533333333333333
A_derece,18,S1,20,20,-6,60,0.0,0.0,0.0,-0.5246907820533544,,1.0,0.7309876329497335,0.6319060827824993,0.9775731822474032,1.0,1e-06,2.290550027047147,0.4533333333333333
A_derece,18,S1,20,20,-4,60,0.0,0.016666666666666666,0.0,-0.42630657400132915,,1.0,0.7128361365661742,0.6319060827824993,0.9775731822474032,1.0,1e-06,2.290550027047147,0.4533333333333333
A_derece,18,S1,20,20,4,60,0.0,0.18333333333333332,0.0,0.534802837228177,,1.0,0.708057137762051,0.6319060827824993,0.9775731822474032,1.0,1e-06,2.290550027047147,0.4533333333333333
A_derece,18,S1,20,20,6,60,0.0,0.0,0.0,0.7277754562873283,,1.0,0.7495731538143419,0.6319060827824993,0.9775731822474032,1.0,1e-06,2.290550027047147,0.4533333333333333
A_derece,18,H_xfer,0,10,ALL,240,0.0,0.0,0.0,0.035248431321302114,0.03168576272471286,1.0,0.7680795537241113,0.6570024787535411,0.974268177525968,0.1,0.1,2.0363911151043608,0.5066666666666667
A_derece,18,H_xfer,0,10,-6,60,0.0,0.0,0.0,-0.15301269356106437,,1.0,0.8158914582781889,0.6570024787535411,0.974268177525968,0.1,0.1,2.0363911151043608,0.5066666666666667
A_derece,18,H_xfer,0,10,-4,60,0.0,0.0,0.0,-0.09779502234227919,,1.0,0.7955401689689523,0.6570024787535411,0.974268177525968,0.1,0.1,2.0363911151043608,0.5066666666666667
A_derece,18,H_xfer,0,10,4,60,0.0,0.0,0.0,0.18237278724833833,,1.0,0.7319356097406253,0.6570024787535411,0.974268177525968,0.1,0.1,2.0363911151043608,0.5066666666666667
A_derece,18,H_xfer,0,10,6,60,0.0,0.0,0.0,0.20942865394021368,,1.0,0.728950977908678,0.6570024787535411,0.974268177525968,0.1,0.1,2.0363911151043608,0.5066666666666667
A_derece,18,H_xfer,20,10,ALL,240,0.0,0.0875,0.0,0.19646287848583452,0.07567998736070271,0.9958333333333333,0.8509454146314404,0.6319060827824993,0.9775731822474032,0.1,0.1,2.036256094222396,0.5
A_derece,18,H_xfer,20,10,-6,60,0.0,0.0,0.0,-0.22055269435919767,,1.0,0.8439780155822015,0.6319060827824993,0.9775731822474032,0.1,0.1,2.036256094222396,0.5
A_derece,18,H_xfer,20,10,-4,60,0.0,0.06666666666666667,0.0,-0.1725721957728202,,1.0,0.8428178084586684,0.6319060827824993,0.9775731822474032,0.1,0.1,2.036256094222396,0.5
A_derece,18,H_xfer,20,10,4,60,0.0,0.2833333333333333,0.0,0.6083723440927594,,0.9833333333333333,0.8432404194057667,0.6319060827824993,0.9775731822474032,0.1,0.1,2.036256094222396,0.5
A_derece,18,H_xfer,20,10,6,60,0.0,0.0,0.0,0.5706040599825961,,1.0,0.8737454150791246,0.6319060827824993,0.9775731822474032,0.1,0.1,2.036256094222396,0.5
A_derece,18,S2,0,0,ALL,120,0.5,0.9083333333333333,0.0,0.5505647592670319,0.82560128957161,0.19166666666666668,0.2473860456612234,0.6549181617878502,0.9740321057601511,0.0001,0.1,2.013718324544203,0.4066666666666667
A_derece,18,S2,0,0,-6,60,0.2833333333333333,0.8166666666666667,0.0,-4.403042978162626,,0.35,0.2700468607561255,0.6549181617878502,0.9740321057601511,0.0001,0.1,2.013718324544203,0.4066666666666667
A_derece,18,S2,0,0,6,60,0.7166666666666667,1.0,0.0,5.504172496696689,,0.03333333333333333,0.2247252305663213,0.6549181617878502,0.9740321057601511,0.0001,0.1,2.013718324544203,0.4066666666666667
A_derece,18,S2,10,10,ALL,120,0.0,0.30833333333333335,0.0,-0.06969854568173389,0.45691997991107297,0.95,0.5374860002049657,0.6451624960654706,0.9749763928234183,0.1,0.1,3.3616784898221392,0.4066666666666667
