arm,g,amp,val,n
A_gercek,0.5,0.5,0.2775,10
A_gercek,0.5,1.0,0.2791666666666667,10
A_gercek,0.8,0.5,0.28583333333333333,10
A_gercek,0.8,1.0,0.28416666666666673,10
A_gercek,0.95,0.5,0.2891666666666667,10
A_gercek,0.95,1.0,0.2891666666666667,10
A_gercek,1.1,0.5,0.28833333333333333,10
A_gercek,1.1,1.0,0.2891666666666667,10
A_gercek,1.3,0.5,0.2925000000000001,10
A_gercek,1.3,1.0,0.2925,10
A_w0,0.5,0.5,0.2633333333333333,10
A_w0,0.5,1.0,0.2633333333333333,10
A_w0,0.8,0.5,0.2633333333333333,10
A_w0,0.8,1.0,0.2633333333333333,10
A_w0,0.95,0.5,0.2633333333333333,10
A_w0,0.95,1.0,0.2633333333333333,10
A_w0,1.1,0.5,0.2633333333333333,10
A_w0,1.1,1.0,0.2633333333333333,10
A_w0,1.3,0.5,0.2633333333333333,10
A_w0,1.3,1.0,0.2633333333333333,10
