test,diff,p_raw,n,p_holm
"A_gercek vs A_w0 (k10,H10)",0.02527777777777778,0.0017197177004060332,30,0.0034394354008120665
"A_gercek vs A_derece (k10,H10)",-0.1716666666666667,3.8415758177690505e-10,15,2.30494549066143e-09
"A_gercek vs A_agirlik (k10,H10)",-0.15611111111111117,2.1324659132671662e-07,15,1.0662329566335831e-06
"A_gercek vs A_er (k10,H10)",-0.02666666666666669,0.011997315703200673,15,0.011997315703200673
"A_gercek vs A_isaretperm (k10,H10)",-0.2127777777777778,3.4064286495874804e-07,15,1.3565851160195102e-06
"A_gercek vs A_dengeli (k10,H10)",-0.10111111111111115,3.3914627900487755e-07,15,1.3565851160195102e-06
