arm,k,H,mean,std,ci95,n,chance
A_agirlik,2,0,1.0,0.0,0.0,15,0.33333333333333326
A_agirlik,2,10,1.0,0.0,0.0,15,0.33333333333333326
A_agirlik,2,20,0.9994444444444445,0.0021516574145596396,0.0010888888888888704,15,0.33333333333333326
A_agirlik,2,40,0.9783333333333335,0.03969126888116358,0.020086553453234065,15,0.33333333333333326
A_agirlik,4,0,0.7977777777777777,0.077117377724414,0.03902677776496605,15,0.20000000000000007
A_agirlik,4,10,0.803888888888889,0.06899697102469071,0.034917284976404686,15,0.20000000000000007
A_agirlik,4,20,0.8022222222222222,0.06925529796554411,0.03504801644587214,15,0.20000000000000007
A_agirlik,4,40,0.7211111111111111,0.07042012999842238,0.03563750278762909,15,0.20000000000000007
A_agirlik,6,0,0.6327777777777777,0.07826660447254227,0.03960836674301759,15,0.1428571428571428
A_agirlik,6,10,0.6377777777777779,0.0883527980950062,0.04471268497340396,15,0.1428571428571428
A_agirlik,6,20,0.6433333333333333,0.05835033765765119,0.029529345103171907,15,0.1428571428571428
A_agirlik,6,40,0.5166666666666667,0.05345224838248489,0.02705056992622029,15,0.1428571428571428
A_agirlik,8,0,0.5183333333333333,0.06994896098482911,0.035399058367890715,15,0.11111111111111113
A_agirlik,8,10,0.5083333333333333,0.06251983812143277,0.03163940346864732,15,0.11111111111111113
A_agirlik,8,20,0.4788888888888888,0.07027911097298714,0.0355661373142599,15,0.11111111111111113
A_agirlik,8,40,0.3883333333333333,0.0833809387832792,0.042196577007040645,15,0.11111111111111113
A_agirlik,10,0,0.43666666666666665,0.05211784570825852,0.026375268999856944,15,0.11111111111111113
A_agirlik,10,10,0.39222222222222225,0.06802679988537978,0.03442631063877644,15,0.11111111111111113
A_agirlik,10,20,0.3549999999999999,0.06963624307217002,0.03524080126889957,15,0.11111111111111113
A_agirlik,10,40,0.3127777777777778,0.045629054143282236,0.023091487395216805,15,0.11111111111111113
A_dengeli,2,0,1.0,0.0,0.0,15,0.33333333333333326
A_dengeli,2,10,1.0,0.0,0.0,15,0.33333333333333326
A_dengeli,2,20,1.0,0.0,0.0,15,0.33333333333333326
A_dengeli,2,40,1.0,0.0,0.0,15,0.33333333333333326
A_dengeli,4,0,0.8227777777777778,0.07362945264156388,0.037261644132496226,15,0.20000000000000007
A_dengeli,4,10,0.8450000000000001,0.0776515415478785,0.03929710195704285,15,0.20000000000000007
A_dengeli,4,20,0.8144444444444444,0.07731010187454064,0.03912430964168277,15,0.20000000000000007
A_dengeli,4,40,0.8133333333333334,0.06430334855138288,0.03254198427786389,15,0.20000000000000007
A_dengeli,6,0,0.6155555555555556,0.06892504171679098,0.034880883724222295,15,0.1428571428571428
A_dengeli,6,10,0.606111111111111,0.07983531329353727,0.04040224293981587,15,0.1428571428571428
A_dengeli,6,20,0.6038888888888889,0.09068011688282937,0.04589047078252711,15,0.1428571428571428
A_dengeli,6,40,0.5772222222222221,0.107573648943828,0.054439777577760626,15,0.1428571428571428
A_dengeli,8,0,0.44611111111111107,0.07399234909683383,0.03744529507771024,15,0.11111111111111113
A_dengeli,8,10,0.46499999999999997,0.05679956404929953,0.02874454537627773,15,0.11111111111111113
A_dengeli,8,20,0.45611111111111113,0.059048899115669275,0.029882865977217545,15,0.11111111111111113
A_dengeli,8,40,0.42055555555555557,0.05772357041980842,0.029212157117487744,15,0.11111111111111113
A_dengeli,10,0,0.3433333333333333,0.04598999200999457,0.02327414715786436,15,0.11111111111111113
A_dengeli,10,10,0.33722222222222226,0.041531526878598186,0.021017852493934525,15,0.11111111111111113
A_dengeli,10,20,0.3216666666666666,0.055348821699220146,0.02801036845064235,15,0.11111111111111113
A_dengeli,10,40,0.29888888888888887,0.04998677073663838,0.02529679626424199,15,0.11111111111111113
A_derece,2,0,1.0,0.0,0.0,15,0.33333333333333326
A_derece,2,10,1.0,0.0,0.0,15,0.33333333333333326
A_derece,2,20,1.0,0.0,0.0,15,0.33333333333333326
A_derece,2,40,1.0,0.0,0.0,15,0.33333333333333326
A_derece,4,0,0.9716666666666666,0.04176179616644404,0.02113438483188528,15,0.20000000000000007
A_derece,4,10,1.0,0.0,0.0,15,0.20000000000000007
A_derece,4,20,1.0,0.0,0.0,15,0.20000000000000007
A_derece,4,40,1.0,0.0,0.0,15,0.20000000000000007
A_derece,6,0,0.7344444444444443,0.0556229749646254,0.028149109145388818,15,0.1428571428571428
A_derece,6,10,0.8444444444444446,0.07922408110199215,0.0400929167722759,15,0.1428571428571428
A_derece,6,20,0.9111111111111111,0.07934920476158719,0.040156238080653446,15,0.1428571428571428
A_derece,6,40,0.961111111111111,0.061935279413100536,0.03134357594605981,15,0.1428571428571428
A_derece,8,0,0.5105555555555557,0.041840905531087345,0.021174419694119505,15,0.11111111111111113
A_derece,8,10,0.5711111111111111,0.06024640760767093,0.030488888888888885,15,0.11111111111111113
A_derece,8,20,0.6311111111111111,0.09180004726169089,0.046457233752142786,15,0.11111111111111113
A_derece,8,40,0.6761111111111109,0.09252126882606607,0.04682222222222222,15,0.11111111111111113
A_derece,10,0,0.3816666666666666,0.04992057183229666,0.02526329499637911,15,0.11111111111111113
A_derece,10,10,0.4077777777777778,0.052654408860861535,0.02664680742000836,15,0.11111111111111113
A_derece,10,20,0.4094444444444444,0.05650771357188056,0.02859684865656389,15,0.11111111111111113
A_derece,10,40,0.4066666666666666,0.06471856042505938,0.032752110477658386,15,0.11111111111111113
A_er,2,0,1.0,0.0,0.0,15,0.33333333333333326
A_er,2,10,1.0,0.0,0.0,15,0.33333333333333326
A_er,2,20,1.0,0.0,0.0,15,0.33333333333333326
A_er,2,40,0.9677777777777778,0.06914060514938586,0.03498997387259583,15,0.33333333333333326
A_er,4,0,0.8150000000000001,0.06778818551368739,0.034305555105712995,15,0.20000000000000007
A_er,4,10,0.8027777777777777,0.07878458340316703,0.039870500249225074,15,0.20000000000000007
A_er,4,20,0.7694444444444445,0.05948411374778807,0.030103114969454538,15,0.20000000000000007
A_er,4,40,0.4,0.06696362433535825,0.03388826957539754,15,0.20000000000000007
A_er,6,0,0.6349999999999999,0.06324555320336758,0.03200666597236686,15,0.1428571428571428
A_er,6,10,0.595,0.08181958472422383,0.041406422833322014,15,0.1428571428571428
A_er,6,20,0.4722222222222222,0.05989960736902172,0.030313383753185666,15,0.1428571428571428
A_er,6,40,0.29277777777777775,0.03603165862516494,0.018234535135421965,15,0.1428571428571428
A_er,8,0,0.5005555555555555,0.06640324942645154,0.03360468074392666,15,0.11111111111111113
A_er,8,10,0.38611111111111107,0.06460093206200995,0.03269258231268379,15,0.11111111111111113
A_er,8,20,0.28111111111111114,0.05112491187040439,0.025872775147385348,15,0.11111111111111113
A_er,8,40,0.24499999999999994,0.049381090140782284,0.02499027959175476,15,0.11111111111111113
A_er,10,0,0.33666666666666667,0.04518480570575318,0.022866666666666657,15,0.11111111111111113
A_er,10,10,0.2627777777777777,0.03131804760549589,0.01584911883674404,15,0.11111111111111113
A_er,10,20,0.22888888888888886,0.030352863065883865,0.015360668066747301,15,0.11111111111111113
A_er,10,40,0.22333333333333327,0.03885769724161014,0.019664708000393525,15,0.11111111111111113
A_gercek,2,0,1.0,0.0,0.0,30,0.3333333333333334
A_gercek,2,10,1.0,0.0,0.0,30,0.3333333333333334
A_gercek,2,20,1.0,0.0,0.0,30,0.3333333333333334
A_gercek,2,40,0.9986111111111112,0.004422238587543634,0.0015824777549907226,30,0.3333333333333334
A_gercek,4,0,0.7641666666666665,0.09243797754974191,0.03307850544311118,30,0.20000000000000007
A_gercek,4,10,0.7797222222222223,0.08796560122413113,0.031478086128974306,30,0.20000000000000007
A_gercek,4,20,0.7652777777777777,0.09010113871620369,0.032242278406087656,30,0.20000000000000007
A_gercek,4,40,0.6252777777777776,0.09844293846093014,0.035227353107800966,30,0.20000000000000007
A_gercek,6,0,0.4333333333333333,0.05004786980512408,0.017909400201600787,30,0.14285714285714277
A_gercek,6,10,0.4783333333333334,0.057801350923506765,0.02068394778665012,30,0.14285714285714277
A_gercek,6,20,0.40944444444444444,0.045313580325783705,0.01621525646909263,30,0.14285714285714277
