arm,seed,task,k,H,acc,val,lam,n_classes,reachable,chance,sat,activity,active_frac,participation_ratio,target,tol
A_derece,1,T1,2,0,1.0,1.0,1e-06,5.0,3.0,0.3333333333333333,,,,,,
A_derece,1,T1,2,10,1.0,1.0,1e-06,5.0,3.0,0.3333333333333333,,,,,,
A_derece,1,T1,2,20,1.0,1.0,1e-06,5.0,3.0,0.3333333333333333,,,,,,
A_derece,1,T1,2,40,1.0,1.0,1e-06,5.0,3.0,0.3333333333333333,,,,,,
A_derece,1,T1,4,0,0.9916666666666667,1.0,1e-06,9.0,5.0,0.2,,,,,,
A_derece,1,T1,4,10,1.0,1.0,1e-06,9.0,5.0,0.2,,,,,,
A_derece,1,T1,4,20,1.0,1.0,1e-06,9.0,5.0,0.2,,,,,,
A_derece,1,T1,4,40,1.0,1.0,1e-06,9.0,5.0,0.2,,,,,,
A_derece,1,T1,6,0,0.7583333333333333,0.7333333333333333,1e-06,13.0,7.0,0.14285714285714285,,,,,,
A_derece,1,T1,6,10,0.7666666666666667,0.7833333333333333,1e-06,13.0,7.0,0.14285714285714285,,,,,,
A_derece,1,T1,6,20,0.9166666666666666,0.9083333333333333,1e-06,13.0,7.0,0.14285714285714285,,,,,,
A_derece,1,T1,6,40,0.975,0.9916666666666667,1e-06,13.0,7.0,0.14285714285714285,,,,,,
A_derece,1,T1,8,0,0.5166666666666667,0.49166666666666664,0.001,17.0,9.0,0.1111111111111111,,,,,,
A_derece,1,T1,8,10,0.5833333333333334,0.5833333333333334,1e-06,17.0,9.0,0.1111111111111111,,,,,,
A_derece,1,T1,8,20,0.6166666666666667,0.6166666666666667,1e-06,17.0,9.0,0.1111111111111111,,,,,,
A_derece,1,T1,8,40,0.6083333333333333,0.6,1e-06,17.0,9.0,0.1111111111111111,,,,,,
A_derece,1,T1,10,0,0.4,0.4666666666666667,0.01,21.0,9.0,0.1111111111111111,,,,,,
A_derece,1,diag,10,0,,,,,,,0.0024227957891791697,0.1625403005145408,0.6704438149197356,1.5130971623901397,,
A_derece,1,T1,10,10,0.4166666666666667,0.4583333333333333,0.01,21.0,9.0,0.1111111111111111,,,,,,
A_derece,1,T1,10,20,0.425,0.475,0.01,21.0,9.0,0.1111111111111111,,,,,,
A_derece,1,T1,10,40,0.375,0.49166666666666664,0.1,21.0,9.0,0.1111111111111111,,,,,,
A_derece,1,T3,9,0,0.0,1.0,1e-06,,,,,,,,7.0,0.22
A_derece,1,T3,10,0,1.0,1.0,1e-06,,,,,,,,8.0,1.0
A_derece,1,T3,9,0,0.0,1.0,1e-06,,,,,,,,9.0,0.0
A_derece,1,T3,10,0,1.0,1.0,1e-06,,,,,,,,10.0,1.0
A_derece,1,T3_x0,10,0,0.02,1.0,1e-06,,,,,,,,8.0,0.16
