arm,seed,task,k,H,acc,val,lam,n_classes,reachable,chance,sat,activity,active_frac,participation_ratio,target,tol
A_w0,14,T1,2.0,0.0,0.525,0.55,1e-06,5.0,3.0,0.3333333333333333,,,,,,
A_w0,14,T1,2.0,10.0,0.48333333333333334,0.525,1e-06,5.0,3.0,0.3333333333333333,,,,,,
A_w0,14,T1,2.0,20.0,0.5166666666666667,0.49166666666666664,1e-05,5.0,3.0,0.3333333333333333,,,,,,
A_w0,14,T1,2.0,40.0,0.49166666666666664,0.5583333333333333,1e-06,5.0,3.0,0.3333333333333333,,,,,,
A_w0,14,T1,4.0,0.0,0.44166666666666665,0.475,0.001,9.0,5.0,0.2,,,,,,
A_w0,14,T1,4.0,10.0,0.45,0.475,0.001,9.0,5.0,0.2,,,,,,
A_w0,14,T1,4.0,20.0,0.44166666666666665,0.4583333333333333,0.01,9.0,5.0,0.2,,,,,,
A_w0,14,T1,4.0,40.0,0.425,0.48333333333333334,0.001,9.0,5.0,0.2,,,,,,
A_w0,14,T1,6.0,0.0,0.3333333333333333,0.3416666666666667,1e-05,13.0,7.0,0.14285714285714285,,,,,,
A_w0,14,T1,6.0,10.0,0.325,0.375,1e-06,13.0,7.0,0.14285714285714285,,,,,,
A_w0,14,T1,6.0,20.0,0.3416666666666667,0.3416666666666667,1e-05,13.0,7.0,0.14285714285714285,,,,,,
A_w0,14,T1,6.0,40.0,0.25833333333333336,0.3333333333333333,1e-06,13.0,7.0,0.14285714285714285,,,,,,
A_w0,14,T1,8.0,0.0,0.225,0.2916666666666667,1e-05,17.0,9.0,0.1111111111111111,,,,,,
A_w0,14,T1,8.0,10.0,0.21666666666666667,0.2916666666666667,1e-05,17.0,9.0,0.1111111111111111,,,,,,
A_w0,14,T1,8.0,20.0,0.225,0.2916666666666667,1e-05,17.0,9.0,0.1111111111111111,,,,,,
A_w0,14,T1,8.0,40.0,0.225,0.2916666666666667,1e-05,17.0,9.0,0.1111111111111111,,,,,,
A_w0,14,T1,10.0,0.0,0.23333333333333334,0.2916666666666667,1e-05,21.0,9.0,0.1111111111111111,,,,,,
A_w0,14,diag,10.0,0.0,,,,,,,0.0,0.0028152984084803636,0.023607176581680833,1.000000000000002,,
A_w0,14,T1,10.0,10.0,0.24166666666666667,0.2916666666666667,1e-05,21.0,9.0,0.1111111111111111,,,,,,
A_w0,14,T1,10.0,20.0,0.24166666666666667,0.2916666666666667,1e-05,21.0,9.0,0.1111111111111111,,,,,,
A_w0,14,T1,10.0,40.0,0.25833333333333336,0.30833333333333335,1e-06,21.0,9.0,0.1111111111111111,,,,,,
A_w0,14,T3,9.0,0.0,0.0,0.06153846153846154,1e-06,,,,,,,,7.0,0.0
A_w0,14,T3,10.0,0.0,0.0,0.07692307692307693,1e-06,,,,,,,,8.0,0.0
A_w0,14,T3,9.0,0.0,0.0,0.06153846153846154,1e-06,,,,,,,,9.0,0.0
A_w0,14,T3,10.0,0.0,0.0,0.06346153846153846,1e-06,,,,,,,,10.0,0.0
A_w0,14,T3_x0,10.0,0.0,0.0,0.07884615384615384,1e-06,,,,,,,,8.0,0.0
A_w0,14,T2,,,0.37784609894813986,,1e-06,,,,,,,,,
A_w0,14,T2_lag,1.0,,0.14281523141658073,,,,,,,,,,,
A_w0,14,T2_lag,2.0,,0.045882374362498465,,,,,,,,,,,
A_w0,14,T2_lag,3.0,,0.02043469598891141,,,,,,,,,,,
A_w0,14,T2_lag,4.0,,0.0048055561645020594,,,,,,,,,,,
A_w0,14,T2_lag,5.0,,0.0031602972949798798,,,,,,,,,,,
A_w0,14,T2_lag,6.0,,0.00039560890785149237,,,,,,,,,,,
A_w0,14,T2_lag,7.0,,0.0015694362181723582,,,,,,,,,,,
A_w0,14,T2_lag,8.0,,9.946648127987497e-05,,,,,,,,,,,
A_w0,14,T2_lag,9.0,,0.0007703236101140876,,,,,,,,,,,
A_w0,14,T2_lag,10.0,,0.0008603341412544798,,,,,,,,,,,
A_w0,14,T2_lag,11.0,,0.0012110267387262068,,,,,,,,,,,
A_w0,14,T2_lag,12.0,,5.797633458528944e-06,,,,,,,,,,,
A_w0,14,T2_lag,13.0,,0.008637099156265652,,,,,,,,,,,
A_w0,14,T2_lag,14.0,,0.004581812394750167,,,,,,,,,,,
A_w0,14,T2_lag,15.0,,0.0002049403482974485,,,,,,,,,,,
A_w0,14,T2_lag,16.0,,0.00201279288201558,,,,,,,,,,,
A_w0,14,T2_lag,17.0,,0.003339064883153491,,,,,,,,,,,
A_w0,14,T2_lag,18.0,,0.0016907019467826423,,,,,,,,,,,
A_w0,14,T2_lag,19.0,,0.005013950016829436,,,,,,,,,,,
A_w0,14,T2_lag,20.0,,0.009447616087803487,,,,,,,,,,,
A_w0,14,T2_lag,21.0,,0.0043988769650519,,,,,,,,,,,
A_w0,14,T2_lag,22.0,,0.0007706772971155913,,,,,,,,,,,
A_w0,14,T2_lag,23.0,,0.002162493719707929,,,,,,,,,,,
A_w0,14,T2_lag,24.0,,0.0028200323870548626,,,,,,,,,,,
A_w0,14,T2_lag,25.0,,0.007023256054548505,,,,,,,,,,,
A_w0,14,T2_lag,26.0,,0.006646960985527026,,,,,,,,,,,
A_w0,14,T2_lag,27.0,,0.0025261705676390494,,,,,,,,,,,
A_w0,14,T2_lag,28.0,,0.0035115692528875364,,,,,,,,,,,
A_w0,14,T2_lag,29.0,,1.5839761316803702e-05,,,,,,,,,,,
A_w0,14,T2_lag,30.0,,0.0009651047118392729,,,,,,,,,,,
A_w0,14,T2_lag,31.0,,0.0002601434301837543,,,,,,,,,,,
A_w0,14,T2_lag,32.0,,0.00027146754226921977,,,,,,,,,,,
A_w0,14,T2_lag,33.0,,0.0006841547453571176,,,,,,,,,,,
A_w0,14,T2_lag,34.0,,0.004375772502103504,,,,,,,,,,,
A_w0,14,T2_lag,35.0,,0.010341545811295866,,,,,,,,,,,
A_w0,14,T2_lag,36.0,,0.010938333312646866,,,,,,,,,,,
A_w0,14,T2_lag,37.0,,0.0009764492738427014,,,,,,,,,,,
A_w0,14,T2_lag,38.0,,0.007301072970388844,,,,,,,,,,,
A_w0,14,T2_lag,39.0,,0.003778379454511839,,,,,,,,,,,
A_w0,14,T2_lag,40.0,,0.000760603764977591,,,,,,,,,,,
A_w0,14,T2_lag,41.0,,9.514263957320304e-05,,,,,,,,,,,
A_w0,14,T2_lag,42.0,,0.0021492216187955467,,,,,,,,,,,
A_w0,14,T2_lag,43.0,,0.0010964917777629268,,,,,,,,,,,
A_w0,14,T2_lag,44.0,,0.002331535422988904,,,,,,,,,,,
A_w0,14,T2_lag,45.0,,2.637790970871809e-05,,,,,,,,,,,
A_w0,14,T2_lag,46.0,,0.00012006339467957478,,,,,,,,,,,
A_w0,14,T2_lag,47.0,,0.006603978199633375,,,,,,,,,,,
A_w0,14,T2_lag,48.0,,0.006493471453654238,,,,,,,,,,,
A_w0,14,T2_lag,49.0,,0.006438623835386638,,,,,,,,,,,
A_w0,14,T2_lag,50.0,,0.000739559140551576,,,,,,,,,,,
A_w0,14,T2_lag,51.0,,0.0004834126724558607,,,,,,,,,,,
A_w0,14,T2_lag,52.0,,2.7558813541139887e-05,,,,,,,,,,,
A_w0,14,T2_lag,53.0,,0.00012131407566275213,,,,,,,,,,,
A_w0,14,T2_lag,54.0,,0.005168871074812553,,,,,,,,,,,
A_w0,14,T2_lag,55.0,,0.009804408818653132,,,,,,,,,,,
A_w0,14,T2_lag,56.0,,0.00047040537859366913,,,,,,,,,,,
A_w0,14,T2_lag,57.0,,1.1654759793115761e-05,,,,,,,,,,,
A_w0,14,T2_lag,58.0,,0.0010405599084311642,,,,,,,,,,,
A_w0,14,T2_lag,59.0,,0.0009523884211112979,,,,,,,,,,,
A_w0,14,T2_lag,60.0,,0.0062040284478571605,,,,,,,,,,,
A_w0,14,T4,,0.5,6.057758923706234e-61,6.16218316167289e-61,,,,,,,,,,
A_w0,14,T4,,0.8,6.057758923706234e-61,6.16218316167289e-61,,,,,,,,,,
A_w0,14,T4,,0.95,6.057758923706234e-61,6.16218316167289e-61,,,,,,,,,,
A_w0,14,T4,,1.1,6.057758923706234e-61,6.16218316167289e-61,,,,,,,,,,
A_w0,14,T4,,1.3,6.057758923706234e-61,6.16218316167289e-61,,,,,,,,,,
